,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-06-03 19:09:00,347.957,348.03,347.34,347.9574,370864.0,348.0618,347.853,347.957,348.03,347.34,347.9574,370864,348.0618,347.853,0.005251402507255171,0.001132153041060191,0.0005710629260092391,0.00013147432650912876,0,0,9.371,9.371,Hold,0,9.371,-0.391,9.762
2025-06-03 19:10:00,347.9299,347.93,346.56,346.78,494773.0,346.884,346.676,347.9299,347.93,346.56,346.78,494773,346.884,346.676,0.02269625623559695,0.004373544763562367,0.002468100755455127,0.0005078896857516974,0,0,9.371,9.371,Hold,0,9.371,-1.568,10.939
2025-06-03 19:11:00,346.73,346.805,346.16,346.6,410259.0,346.704,346.496,346.73,346.805,346.16,346.6,410259,346.704,346.496,0.06414391827545313,0.01353549311695376,0.0069753201369482975,0.0015718456577690123,0,0,9.371,9.371,Hold,0,9.371,-1.748,11.119
2025-06-03 19:12:00,346.6,346.75,345.58,346.095,564368.0,346.1988,345.9912,346.6,346.75,345.58,346.095,564368,346.1988,345.9912,0.19780159807354972,0.041787067415387895,0.021509903156180996,0.0048526359475967685,0,0,9.371,9.371,Hold,0,9.371,-2.253,11.624
2025-06-03 19:13:00,346.03,346.49,345.69,345.995,372468.0,346.0988,345.8912,346.03,346.49,345.69,345.995,372468,346.0988,345.8912,0.5421909135449656,0.11921888101817602,0.05896046420300905,0.013844614217843474,0,0,9.371,9.371,Hold,0,9.371,-2.353,11.724
2025-06-03 19:14:00,346.0,346.23,345.32,345.62,399797.0,345.7237,345.5163,346.0,346.23,345.32,345.62,399797,345.7237,345.5163,1.588186059565174,0.34603913282182475,0.17270703911371352,0.04018472793302651,0,0,9.371,9.371,Hold,0,9.371,-2.728,12.099
2025-06-03 19:15:00,345.63,345.7499,344.795,345.04,550851.0,345.1435,344.9365,345.63,345.7499,344.795,345.04,550851,345.1435,344.9365,4.820738616163681,1.0344298234808105,0.5242304500309738,0.12012595420468955,1,1,-335.772,9.164,Buy,1,9.164,-3.308,12.472
2025-06-03 19:16:00,345.04,346.132,344.72,345.8318,566999.0,345.9355,345.7281,345.04,346.132,344.72,345.8318,566999,345.9355,345.7281,4.028938616163715,1.6092422825745902,0.43812628563119754,0.18687760189504182,0,1,-335.772,9.956,Hold,0,9.956,-2.516,12.472
2025-06-03 19:17:00,345.8,346.17,345.65,346.03,444277.0,346.1338,345.9262,345.8,346.17,345.65,346.03,444277,346.1338,345.9262,3.830738616163729,2.153248333992895,0.41657305832122643,0.2500517723765656,0,1,-335.772,10.154,Hold,0,10.154,-2.318,12.472
2025-06-03 19:18:00,346.0304,346.55,345.88,346.496,422793.0,346.5999,346.3921,346.0304,346.55,345.88,346.496,422793,346.5999,346.3921,3.364738616163721,2.624761862262648,0.3658979628295642,0.3048075530183393,0,1,-335.772,10.62,Hold,0,10.62,-1.852,12.472
