,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-04-02 16:29:00,224.27,224.51,224.24,224.48,47718.0,224.5473,224.4127,224.27,224.51,224.24,224.48,47718,224.5473,224.4127,8.406570173263627e-09,3.937459589807775e-09,2.8448630027964666e-09,1.5388215299688375e-09,0,0,2.926,2.926,Hold,0,2.926,3.126,-0.19999999999999973
2025-04-02 16:30:00,224.47,224.6,224.42,224.5,54519.0,224.5674,224.4326,224.47,224.6,224.42,224.5,54519,224.5674,224.4326,1.769785971917461e-08,8.18157357763805e-09,5.989123424424523e-09,3.1974884524232635e-09,0,0,2.926,2.926,Hold,0,2.926,3.146,-0.21999999999999975
2025-04-02 16:31:00,224.51,224.58,224.42,224.465,61818.0,224.5323,224.3977,224.51,224.58,224.42,224.465,61818,224.5323,224.3977,4.332604226691502e-08,1.881239494295098e-08,1.4661943237534574e-08,7.352181707064357e-09,0,0,2.926,2.926,Hold,0,2.926,3.111,-0.18500000000000005
2025-04-02 16:32:00,224.45,224.6,224.4,224.415,52843.0,224.4823,224.3477,224.45,224.6,224.4,224.415,52843,224.4823,224.3477,1.0894646219625476e-07,4.4594233588902006e-08,3.686851512563583e-08,1.742813232590205e-08,0,0,2.926,2.926,Hold,0,2.926,3.061,-0.1349999999999998
2025-04-02 16:33:00,224.415,224.51,224.39,224.41,40429.0,224.4773,224.3427,224.415,224.51,224.39,224.41,40429,224.4773,224.3427,2.452517624785673e-07,1.0380553166522793e-07,8.299552029731483e-08,4.0568844812985876e-08,0,0,2.926,2.926,Hold,0,2.926,3.056,-0.1299999999999999
2025-04-02 16:34:00,224.42,224.44,224.275,224.35,33698.0,224.4173,224.2827,224.42,224.44,224.275,224.35,33698,224.4173,224.2827,6.202475399783697e-07,2.544429517300267e-07,2.0989764466272916e-07,9.944033286957534e-08,0,0,2.926,2.926,Hold,0,2.926,2.996,-0.06999999999999984
2025-04-02 16:35:00,224.335,224.35,224.06,224.1,54172.0,224.1672,224.0328,224.335,224.35,224.06,224.1,54172,224.1672,224.0328,2.0705794290279304e-06,7.612562984202805e-07,7.007036984866036e-07,2.9751101061857475e-07,0,0,2.926,2.926,Hold,0,2.926,2.746,0.18000000000000016
2025-04-02 16:36:00,224.1,224.2547,224.0408,224.13,39474.0,224.1972,224.0628,224.1,224.2547,224.0408,224.13,39474,224.1972,224.0628,4.423832894396373e-06,1.8399779064703102e-06,1.497066969338862e-06,7.190924890944034e-07,0,0,2.926,2.926,Hold,0,2.926,2.776,0.15000000000000036
2025-04-02 16:37:00,224.18,224.18,224.01,224.02,48114.0,224.0872,223.9528,224.18,224.18,224.01,224.02,48114,224.0872,223.9528,1.1349582734515116e-05,4.616060649479447e-06,3.840806339937402e-06,1.8040295650139455e-06,0,0,2.926,2.926,Hold,0,2.926,2.666,0.26000000000000023
2025-04-02 16:38:00,224.05,224.17,223.67,223.9248,180246.0,223.992,223.8576,224.05,224.17,223.67,223.9248,180246,223.992,223.8576,2.815613327937506e-05,1.150003208432862e-05,9.52830229420468e-06,4.494394561535353e-06,0,0,2.926,2.926,Hold,0,2.926,2.571,0.355
