,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-06-12 18:43:00,199.24,199.25,199.17,199.23,42983.0,199.2898,199.1702,199.24,199.25,199.17,199.23,42983.0,199.2898,199.1702,0.0,0.0004730185329662363,0.0,0.0009207783196831427,0,0,1.106,1.106,Hold,0,1.106,0.212,0.8940000000000001
2025-06-12 18:44:00,199.2,199.28,199.16,199.185,31601.0,199.2448,199.1252,199.2,199.28,199.16,199.185,31601.0,199.2448,199.1252,0.0,0.00031534568864415756,0.0,0.0006138522131220952,0,0,1.106,1.106,Hold,0,1.106,0.167,0.9390000000000001
2025-06-12 18:45:00,199.2,199.225,199.17,199.2,40439.0,199.2598,199.1402,199.2,199.225,199.17,199.2,40439.0,199.2598,199.1402,0.0,0.00021023045909610507,0.0,0.00040923480874806355,0,0,1.106,1.106,Hold,0,1.106,0.182,0.9240000000000002
2025-06-12 18:46:00,199.2075,199.2075,199.02,199.12,64350.0,199.1797,199.0603,199.2075,199.2075,199.02,199.12,64350.0,199.1797,199.0603,0.0,0.0001401536393974034,0.0,0.0002728232058320424,0,0,1.106,1.106,Hold,0,1.106,0.102,1.004
2025-06-12 18:47:00,199.12,199.225,199.11,199.185,35231.0,199.2448,199.1252,199.12,199.225,199.11,199.185,35231.0,199.2448,199.1252,0.0,9.343575959826893e-05,0.0,0.0001818821372213616,0,0,1.106,1.106,Hold,0,1.106,0.167,0.9390000000000001
2025-06-12 18:48:00,199.18,199.1864,199.02,199.0477,40979.0,199.1074,198.988,199.18,199.1864,199.02,199.0477,40979.0,199.1074,198.988,0.0,6.229050639884597e-05,0.0,0.00012125475814757443,0,0,1.106,1.106,Hold,0,1.106,0.03,1.076
2025-06-12 18:49:00,199.04,199.07,199.01,199.0393,30515.0,199.099,198.9796,199.04,199.07,199.01,199.0393,30515.0,199.099,198.9796,0.0,4.152700426589732e-05,0.0,8.083650543171629e-05,0,0,1.106,1.106,Hold,0,1.106,0.021,1.0850000000000002
2025-06-12 18:50:00,199.04,199.22,199.04,199.11,46154.0,199.1697,199.0503,199.04,199.22,199.04,199.11,46154.0,199.1697,199.0503,0.0,2.7684669510598214e-05,0.0,5.38910036211442e-05,0,0,1.106,1.106,Hold,0,1.106,0.092,1.014
2025-06-12 18:51:00,199.115,199.1599,199.07,199.08,41231.0,199.1397,199.0203,199.115,199.1599,199.07,199.08,41231.0,199.1397,199.0203,0.0,1.8456446340398812e-05,0.0,3.592733574742947e-05,0,0,1.106,1.106,Hold,0,1.106,0.062,1.044
2025-06-12 18:52:00,199.09,199.16,199.07,199.16,27285.0,199.2197,199.1003,199.09,199.16,199.07,199.16,27285.0,199.2197,199.1003,0.0,1.2304297560265876e-05,0.0,2.3951557164952984e-05,0,0,1.106,1.106,Hold,0,1.106,0.142,0.9640000000000001
2025-06-12 18:53:00,199.15,199.21,199.12,199.14,38709.0,199.1997,199.0803,199.15,199.21,199.12,199.14,38709.0,199.1997,199.0803,0.0,8.202865040177251e-06,0.0,1.596770477663532e-05,0,0,1.106,1.106,Hold,0,1.106,0.122,0.9840000000000001
2025-06-12 18:54:00,199.15,199.1599,199.07,199.15,60417.0,199.2097,199.0903,199.15,199.1599,199.07,199.15,60417.0,199.2097,199.0903,0.0,5.468576693451501e-06,0.0,1.0645136517756883e-05,0,0,1.106,1.106,Hold,0,1.106,0.132,0.9740000000000001
2025-06-12 18:55:00,199.145,199.1589,199.09,199.13,34700.0,199.1897,199.0703,199.145,199.1589,199.09,199.13,34700.0,199.1897,199.0703,0.0,3.6457177956343345e-06,0.0,7.096757678504589e-06,0,0,1.106,1.106,Hold,0,1.106,0.112,0.9940000000000001
2025-06-12 18:56:00,199.12,199.12,199.02,199.065,44222.0,199.1247,199.0053,199.12,199.12,199.02,199.065,44222.0,199.1247,199.0053,0.0,2.4304785304228898e-06,0.0,4.731171785669726e-06,0,0,1.106,1.106,Hold,0,1.106,0.047,1.0590000000000002
2025-06-12 18:57:00,199.05,199.06,198.95,199.009,55905.0,199.0687,198.9493,199.05,199.06,198.95,199.009,55905.0,199.0687,198.9493,0.0,1.6203190202819268e-06,0.0,3.154114523779818e-06,0,0,1.106,1.106,Hold,0,1.106,-0.009,1.115
