,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,open,high,low,close,volume,ask,bid,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-03-12 16:52:00,217.42,217.4697,217.11,217.24,87489,217.3052,217.1748,217.42,217.4697,217.11,217.24,87489.0,217.3052,217.1748,1.0749999999999773,1.016439999999983,0.3171091445427685,0.36827803100022133,0,1,-212.918,4.257,Hold,0,4.257,-2.736,6.993
2025-03-12 16:53:00,217.25,217.42,217.19,217.34,63989,217.4052,217.2748,217.25,217.42,217.19,217.34,63989.0,217.4052,217.2748,0.974999999999983,0.9944399999999802,0.28761061946902367,0.36030695874607355,0,1,-212.918,4.357,Hold,0,4.357,-2.636,6.993
2025-03-12 16:54:00,217.345,217.4,217.24,217.27,56126,217.3352,217.2048,217.345,217.4,217.24,217.27,56126.0,217.3352,217.2048,1.0449999999999762,1.0204399999999794,0.3082595870206442,0.3697273168646104,0,1,-212.918,4.287,Hold,0,4.287,-2.706,6.993
2025-03-12 16:55:00,217.275,217.3,216.96,217.04,65074,217.1051,216.9749,217.275,217.3,216.96,217.04,65074.0,217.1051,216.9749,1.2749999999999944,1.0579999999999814,0.3761061946902666,0.38333611113123633,0,1,-212.918,4.057,Hold,0,4.057,-2.936,6.993
2025-03-12 16:56:00,217.05,217.0888,216.76,216.79,95335,216.855,216.725,217.05,217.0888,216.76,216.79,95335.0,216.855,216.725,1.5249999999999944,1.178999999999985,0.44985250737463295,0.4271770085290452,0,1,-212.918,3.807,Hold,0,3.807,-3.186,6.993
2025-03-12 16:57:00,216.8072,217.06,216.66,217.04,71355,217.1051,216.9749,216.8072,217.06,216.66,217.04,71355.0,217.1051,216.9749,1.2749999999999944,1.2189999999999883,0.3761061946902666,0.44166986717294976,0,1,-212.918,4.057,Hold,0,4.057,-2.936,6.993
2025-03-12 16:58:00,217.035,217.595,216.94,217.53,118347,217.5953,217.4647,217.035,217.595,216.94,217.53,118347.0,217.5953,217.4647,0.7849999999999853,1.180999999999989,0.23156342182890594,0.4279016514612418,0,1,-212.918,4.546,Hold,0,4.546,-2.446,6.992000000000001
2025-03-12 16:59:00,217.53,217.893,217.46,217.78,111315,217.8453,217.7147,217.53,217.893,217.46,217.78,111315.0,217.8453,217.7147,0.5349999999999853,1.0789999999999906,0.15781710914453959,0.39094486191928896,0,1,-212.918,4.796,Hold,0,4.796,-2.196,6.992000000000001
2025-03-12 17:00:00,217.78,217.86,217.58,217.65,131536,217.7153,217.5847,217.78,217.86,217.58,217.65,131536.0,217.7153,217.5847,0.6649999999999807,0.956999999999988,0.19616519174040875,0.3467416430553828,0,1,-212.918,4.666,Hold,0,4.666,-2.326,6.992000000000001
2025-03-12 17:01:00,217.655,217.79,217.62,217.75,66534,217.8153,217.6847,217.655,217.79,217.62,217.75,66534.0,217.8153,217.6847,0.5649999999999864,0.7649999999999864,0.16666666666666388,0.27717592156464627,0,1,-212.918,4.766,Hold,0,4.766,-2.226,6.992
