,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 15:14:00,176.23,176.31,176.125,176.15,71020.0,176.0972,176.2028,0,0.0,0.126,0.2429072066538213,0.15515604615211487,0,0,0.0,0.0,Hold,0,-0.126
2025-06-18 15:15:00,176.13,176.25,176.09,176.177,41760.0,176.1241,176.2299,0,0.0,0.099,0.2510905716045962,0.14795097708702087,0,0,0.0,0.0,Hold,0,-0.099
2025-06-18 15:16:00,176.18,176.19,175.98,176.0,42129.0,175.9472,176.0528,0,0.0,0.276,0.2588753464120069,0.1378234624862671,0,0,0.0,0.0,Hold,0,-0.276
2025-06-18 15:17:00,176.0098,176.06,175.94,175.97,30440.0,175.9172,176.0228,0,0.0,0.306,0.2511949163704656,0.12939906120300293,0,0,0.0,0.0,Hold,0,-0.306
2025-06-18 15:18:00,175.97,176.06,175.91,176.04,57826.0,175.9872,176.0928,0,0.0,0.236,0.246498396817672,0.12350216507911682,0,0,0.0,0.0,Hold,0,-0.236
2025-06-18 15:19:00,176.05,176.09,175.97,175.97,95211.0,175.9172,176.0228,0,0.0,0.306,0.2447019034075141,0.12186245620250702,0,0,0.0,0.0,Hold,0,-0.306
2025-06-18 15:20:00,175.97,176.17,175.97,176.14,39250.0,176.0872,176.1928,0,0.0,0.136,0.2443183956415669,0.12301251292228699,0,0,0.0,0.0,Hold,0,-0.136
2025-06-18 15:21:00,176.15,176.15,175.7596,175.7596,55922.0,175.7069,175.8123,0,0.0,0.516,0.2449629458660543,0.12632401287555695,0,0,0.0,0.0,Hold,0,-0.516
2025-06-18 15:22:00,175.7501,175.77,175.52,175.54,66047.0,175.4873,175.5927,0,0.0,0.736,0.2484672677063743,0.13452313840389252,0,0,0.0,0.0,Hold,0,-0.736
2025-06-18 15:23:00,175.5475,175.56,175.36,175.44,70985.0,175.3874,175.4926,0,0.0,0.835,0.255082935133468,0.14733360707759857,0,0,0.0,0.0,Hold,0,-0.835
2025-06-18 15:24:00,175.445,175.455,175.23,175.2563,85691.0,175.2037,175.3089,0,0.0,1.019,0.2553035265138984,0.16634637117385864,0,0,0.0,0.0,Hold,0,-1.019
2025-06-18 15:25:00,175.26,175.26,175.1,175.16,95090.0,175.1075,175.2125,0,0.0,1.115,0.2572777311192964,0.1970728039741516,0,0,0.0,0.0,Hold,0,-1.115
2025-06-18 15:26:00,175.14,175.47,175.14,175.47,93524.0,175.4174,175.5226,0,0.0,0.806,0.264020440972315,0.22471848130226135,0,0,0.0,0.0,Hold,0,-0.806
2025-06-18 15:27:00,175.4896,175.57,175.25,175.28,68772.0,175.2274,175.3326,0,0.0,0.996,0.2727156073304554,0.23822897672653198,0,0,0.0,0.0,Hold,0,-0.996
2025-06-18 15:28:00,175.28,175.39,175.155,175.34,66761.0,175.2874,175.3926,0,0.0,0.936,0.2826149684303148,0.2481299638748169,0,0,0.0,0.0,Hold,0,-0.936
2025-06-18 15:29:00,175.335,175.445,175.31,175.4,51744.0,175.3474,175.4526,0,0.0,0.876,0.2913437921322927,0.25933176279067993,0,0,0.0,0.0,Hold,0,-0.876
2025-06-18 15:30:00,175.4,175.51,175.27,175.2802,82113.0,175.2276,175.3328,0,0.0,0.995,0.3011539858929122,0.2599312663078308,0,0,0.0,0.0,Hold,0,-0.995
2025-06-18 15:31:00,175.29,175.545,175.29,175.48,40694.0,175.4274,175.5326,0,0.0,0.796,0.3076004954523413,0.2633567452430725,0,0,0.0,0.0,Hold,0,-0.796
2025-06-18 15:32:00,175.51,175.59,175.36,175.581,62093.0,175.5283,175.6337,0,0.0,0.695,0.3134716039907889,0.259027361869812,0,0,0.0,0.0,Hold,0,-0.695
2025-06-18 15:33:00,175.56,175.68,175.56,175.6717,53615.0,175.619,175.7244,0,0.0,0.604,0.317728589616463,0.2582619786262512,0,0,0.0,0.0,Hold,0,-0.604
2025-06-18 15:34:00,175.68,175.7,175.58,175.63,57356.0,175.5773,175.6827,0,0.0,0.646,0.3227815915210478,0.2587999701499939,0,0,0.0,0.0,Hold,0,-0.646
2025-06-18 15:35:00,175.64,175.66,175.46,175.4999,56018.0,175.4473,175.5525,0,0.0,0.776,0.3284353947940404,0.26019537448883057,0,0,0.0,0.0,Hold,0,-0.776
2025-06-18 15:36:00,175.49,175.5916,175.44,175.53,50198.0,175.4773,175.5827,0,0.0,0.746,0.3361531959092682,0.2638787627220154,0,0,0.0,0.0,Hold,0,-0.746
2025-06-18 15:37:00,175.52,175.61,175.51,175.6,48682.0,175.5473,175.6527,0,0.0,0.676,0.3392752065535277,0.2687816023826599,0,0,0.0,0.0,Hold,0,-0.676
2025-06-18 15:38:00,175.615,175.73,175.6,175.68,54903.0,175.6273,175.7327,0,0.0,0.596,0.3383343096479386,0.26827168464660645,0,0,0.0,0.0,Hold,0,-0.596
2025-06-18 15:39:00,175.685,175.72,175.5639,175.5639,36959.0,175.5112,175.6166,0,0.0,0.712,0.3355933709967165,0.26169097423553467,0,0,0.0,0.0,Hold,0,-0.712
2025-06-18 15:40:00,175.57,175.63,175.4501,175.4501,58037.0,175.3975,175.5027,0,0.0,0.825,0.3289746119790279,0.25591564178466797,0,0,0.0,0.0,Hold,0,-0.825
2025-06-18 15:41:00,175.45,175.53,175.32,175.41,56574.0,175.3574,175.4626,0,0.0,0.865,0.3181312010120868,0.2553609013557434,0,0,0.0,0.0,Hold,0,-0.865
2025-06-18 15:42:00,175.41,175.6022,175.4099,175.6,32421.0,175.5473,175.6527,0,0.0,0.676,0.3202993571071614,0.26427075266838074,0,0,0.0,0.0,Hold,0,-0.676
2025-06-18 15:43:00,175.6034,175.74,175.55,175.665,55622.0,175.6123,175.7177,0,0.0,0.611,0.3140417682664129,0.2650657594203949,0,0,0.0,0.0,Hold,0,-0.611
2025-06-18 15:44:00,175.669,175.71,175.55,175.61,59720.0,175.5573,175.6627,0,0.0,0.666,0.3078579477941488,0.2576846480369568,0,0,0.0,0.0,Hold,0,-0.666
2025-06-18 15:45:00,175.59,175.795,175.5546,175.79,55808.0,175.7373,175.8427,0,0.0,0.486,0.3043069481154653,0.2517262399196625,0,0,0.0,0.0,Hold,0,-0.486
2025-06-18 15:46:00,175.78,175.84,175.68,175.71,64831.0,175.6573,175.7627,0,0.0,0.566,0.2953869496711364,0.24667270481586456,0,0,0.0,0.0,Hold,0,-0.566
2025-06-18 15:47:00,175.7,175.8008,175.7,175.77,32191.0,175.7173,175.8227,0,0.0,0.506,0.2952953398334222,0.2438981980085373,0,0,0.0,0.0,Hold,0,-0.506
2025-06-18 15:48:00,175.7714,175.855,175.73,175.79,70789.0,175.7373,175.8427,0,0.0,0.486,0.2977202329307772,0.244685098528862,0,0,0.0,0.0,Hold,0,-0.486
