trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
758,ema_21,ema_50,0,30,39,3.51853,58.76597,1.03843,-15.7065,0.74125,0.79041,3.58566,21.91361
414,ema_21,ema_50,0,25,84,3.77781,55.52072,2.18175,-5.92536,0.9549,0.43178,7.98234,21.89685
829,ema_21,ema_50,0,36,89,3.58394,57.97282,1.5798,-4.7029,0.9059,0.76079,3.32843,21.89332
931,ema_21,ema_50,0,37,88,3.81562,58.01632,1.00013,-19.17326,0.81533,0.99231,5.64683,21.87955
295,ema_21,ema_50,0,50,59,3.76804,57.0299,2.49312,-5.3156,0.84696,0.61184,10.31899,21.87952
830,ema_21,ema_50,0,22,74,3.71616,57.5643,4.2489,-3.52011,0.89125,0.16437,6.08346,21.81329
630,ema_21,ema_50,0,35,43,3.57216,57.91248,1.59303,-14.753,0.87662,0.77884,6.56843,21.80241
514,ema_21,ema_50,0,47,58,3.85482,55.39194,2.9102,-9.28808,0.97679,0.92459,12.81464,21.78348
137,ema_21,ema_50,0,59,62,3.61368,57.56794,1.50736,-18.90539,0.86388,0.39134,10.34917,21.71321
364,ema_21,ema_50,0,35,72,3.67135,57.81334,1.47406,-7.09738,0.86192,0.43468,8.2719,21.67834
1214,ema_21,ema_50,0,38,91,3.67716,56.74951,2.98665,-18.23314,0.94865,0.93396,14.85412,21.63379
949,ema_21,ema_50,0,60,95,3.61911,56.8713,2.31111,-2.04258,0.92954,0.79897,8.26516,21.6251
722,ema_21,ema_50,0,22,79,3.51517,58.1351,1.34246,-13.57066,0.83217,0.78695,9.75503,21.61031
733,ema_21,ema_50,0,20,31,3.81124,54.99704,1.0178,-15.31375,0.90355,0.81508,6.07979,21.57325
866,ema_21,ema_50,0,57,86,3.69125,58.09916,2.71887,-5.28597,0.83948,0.43361,5.86685,21.56396
315,ema_21,ema_50,0,54,60,3.74565,58.3872,2.08403,-8.65266,0.7346,0.40579,8.86696,21.54444
651,ema_21,ema_50,0,38,46,3.73069,56.75177,1.8173,-17.61013,0.95472,0.81064,6.09594,21.54031
1039,ema_21,ema_50,0,35,99,3.62774,57.28743,1.95276,-5.96871,0.97201,0.59893,9.17499,21.46927
805,ema_21,ema_50,0,60,81,3.37142,58.32255,3.86809,-2.99414,0.90771,0.69465,7.60526,21.46332
604,ema_21,ema_50,0,37,45,3.49499,56.91271,2.81737,-10.68815,0.99596,0.96816,12.32106,21.44254
336,ema_21,ema_50,0,57,62,3.64095,56.95155,1.31748,-19.72971,0.78077,0.62342,11.07953,21.43407
405,ema_21,ema_50,0,57,62,3.58968,58.35367,1.16098,-18.64284,0.71605,0.52614,9.51595,21.43
905,ema_21,ema_50,0,24,79,3.72102,56.4992,1.34334,-2.04307,0.96706,0.89431,5.57599,21.41632
819,ema_21,ema_50,0,25,74,3.60495,57.53692,1.53887,-16.62454,0.80142,0.73615,8.59312,21.41323
398,ema_21,ema_50,0,47,56,3.58334,57.25168,1.66647,-2.55371,0.98498,0.94912,5.21527,21.39524
760,ema_21,ema_50,0,26,94,3.67546,56.59346,1.14471,-17.89998,0.96355,0.85955,3.04372,21.38438
310,ema_21,ema_50,0,24,54,3.56594,57.64727,2.78303,-12.51051,0.85367,0.52155,13.94872,21.36403
179,ema_21,ema_50,0,37,69,3.86364,58.42203,1.51615,-2.06963,0.71793,0.96705,13.55557,21.35439
907,ema_21,ema_50,0,20,82,3.56151,57.13323,1.10608,-13.99831,0.98548,0.89363,8.57498,21.31681
1195,ema_21,ema_50,0,27,83,3.58485,58.20472,2.40762,-6.29004,0.98993,0.21051,5.09429,21.31125
662,ema_21,ema_50,0,28,80,3.59879,57.23556,1.03964,-12.25715,0.99136,0.84302,3.62765,21.26933
290,ema_21,ema_50,0,56,63,3.41643,58.32078,2.19435,-8.99741,0.89332,0.57291,10.20893,21.20026
267,ema_21,ema_50,0,57,65,3.40273,58.69321,3.90287,-18.85788,0.9598,0.44529,11.88769,21.18266
1073,ema_21,ema_50,0,29,91,3.35457,58.42355,2.05701,-11.58349,0.95513,0.90966,14.53404,21.17192
615,ema_21,ema_50,0,52,55,3.74177,56.63356,2.42174,-7.4966,0.95897,0.62809,6.57057,21.15431
884,ema_21,ema_50,0,21,91,3.52508,56.91474,1.36036,-17.13541,0.97575,0.77649,4.13172,21.14946
546,ema_21,ema_50,0,58,62,3.55643,58.07152,1.27279,-18.13246,0.77575,0.58027,10.06117,21.10413
627,ema_21,ema_50,0,27,90,3.61777,57.12853,4.01831,-14.11995,0.77105,0.91347,5.65915,21.05771
331,ema_21,ema_50,0,53,60,3.78939,55.94297,2.63419,-11.94771,0.94943,0.79307,11.79699,21.04335
404,ema_21,ema_50,0,53,60,3.73787,57.94799,1.34812,-18.45999,0.754,0.45826,8.54842,21.03063
918,ema_21,ema_50,0,20,99,3.67162,55.5839,1.49136,-9.74663,0.82685,0.65386,3.65277,21.0202
1083,ema_21,ema_50,0,33,92,3.69875,56.24283,3.5837,-7.21536,0.93917,0.84176,12.66074,20.97914
576,ema_21,ema_50,0,23,24,3.6997,56.12627,3.47714,-10.749,0.91872,0.85526,3.16137,20.96685
1119,ema_21,ema_50,0,23,77,3.68316,56.03515,1.62777,-16.57166,0.78553,0.97511,6.81386,20.93921
608,ema_21,ema_50,0,49,52,3.59265,56.87596,4.769,-4.93725,0.85387,0.89402,8.45825,20.93842
484,ema_21,ema_50,0,26,78,3.76113,56.35983,2.33617,-18.13313,0.87047,0.76765,6.88912,20.92723
530,ema_21,ema_50,0,60,65,3.72676,57.89929,2.01045,-16.68624,0.74505,0.4374,13.58766,20.92634
268,ema_21,ema_50,0,60,66,3.85299,58.28932,2.34172,-10.32988,0.7073,0.54755,10.50047,20.92237
366,ema_21,ema_50,0,32,74,3.7698,55.71139,1.10948,-7.10124,0.84633,0.36915,10.62781,20.88084
1128,ema_21,ema_50,0,36,92,3.36589,58.06809,1.8378,-10.97553,0.89302,0.99177,7.72759,20.87701
412,ema_21,ema_50,0,55,62,3.75734,55.12755,3.26178,-2.28696,0.74657,0.88368,7.91307,20.86497
640,ema_21,ema_50,0,35,41,3.53407,57.12031,1.20425,-14.77035,0.82094,0.92256,5.32246,20.84399
787,ema_21,ema_50,0,35,84,3.26211,58.41031,1.17264,-16.88714,0.96512,0.62191,7.55764,20.84323
757,ema_21,ema_50,0,28,76,3.68366,57.40997,1.25447,-18.19552,0.67753,0.89566,4.1808,20.83572
296,ema_21,ema_50,0,49,58,3.66879,54.06646,2.88598,-2.17598,0.75628,0.64975,9.52146,20.834
948,ema_21,ema_50,0,28,98,3.72414,56.06915,1.15836,-15.0834,0.96,0.99292,10.03969,20.79949
619,ema_21,ema_50,0,26,35,3.66155,55.07917,1.33493,-18.37153,0.86286,0.88945,6.09713,20.75553
424,ema_21,ema_50,0,49,83,3.30897,58.68799,1.57829,-2.4423,0.81037,0.92058,5.71318,20.72403
1097,ema_21,ema_50,0,25,79,3.4372,58.15278,3.11455,-7.84806,0.88963,0.84356,13.83287,20.72206
513,ema_21,ema_50,0,35,70,3.31765,58.69083,1.93008,-19.01167,0.78545,0.98574,6.43261,20.71012
347,ema_21,ema_50,0,34,50,3.66745,56.16775,1.13862,-10.62671,0.8483,0.87597,9.70701,20.65397
451,ema_21,ema_50,0,31,93,3.22634,58.44006,1.5966,-9.76157,0.99018,0.37089,8.93443,20.58937
813,ema_21,ema_50,0,60,82,3.68678,55.51121,1.31969,-16.99154,0.77591,0.23224,11.8664,20.55191
547,ema_21,ema_50,0,53,59,3.63465,55.84854,2.58811,-9.09685,0.93721,0.98821,10.29024,20.547
264,ema_21,ema_50,0,59,64,3.84844,58.45609,1.67107,-8.71782,0.68262,0.50874,10.17433,20.54069
333,ema_21,ema_50,0,51,58,3.6356,57.38267,1.78674,-7.01881,0.74565,0.71337,10.66411,20.48381
338,ema_21,ema_50,0,21,44,3.45944,58.20901,2.63491,-14.06488,0.80389,0.48192,14.98703,20.4804
305,ema_21,ema_50,0,44,57,3.86729,55.95975,3.89355,-3.91359,0.94905,0.59853,11.19384,20.46719
538,ema_21,ema_50,0,37,55,3.39152,58.1726,1.1387,-6.52873,0.94546,0.60598,7.95851,20.45344
454,ema_21,ema_50,0,55,61,3.25839,58.69021,1.03862,-19.8696,0.93393,0.19949,8.13114,20.45115
234,ema_21,ema_50,0,38,70,3.55622,55.83715,1.56755,-11.16243,0.84403,0.93723,4.16603,20.44865
250,ema_21,ema_50,0,26,79,3.59352,56.81664,3.999,-19.03216,0.80263,0.62034,13.95844,20.42399
953,ema_21,ema_50,0,30,100,3.5314,58.04982,2.1947,-10.078,0.73243,0.27202,5.88238,20.38251
1025,ema_21,ema_50,0,23,78,3.13534,58.60625,1.1323,-14.07076,0.96084,0.96165,9.10795,20.37791
709,ema_21,ema_50,0,30,93,3.18182,58.50707,1.44875,-7.90694,0.96205,0.95031,8.48925,20.36146
1109,ema_21,ema_50,0,33,94,3.55742,57.44569,3.36026,-10.33895,0.71304,0.91944,14.56599,20.35014
693,ema_21,ema_50,0,33,93,3.59079,57.05428,1.85075,-11.54222,0.70829,0.94331,8.45188,20.34709
974,ema_21,ema_50,0,52,94,3.56885,58.01804,3.46012,-19.12714,0.67805,0.43496,9.84954,20.3319
914,ema_21,ema_50,0,55,78,3.20497,58.54446,3.34204,-10.67817,0.71075,0.73443,6.60895,20.23649
574,ema_21,ema_50,0,25,36,3.63288,55.68647,2.43376,-1.40847,0.84481,0.90274,3.40171,20.23197
375,ema_21,ema_50,0,39,71,3.54056,56.94803,1.15133,-6.06707,0.8755,0.3601,8.94418,20.22499
1013,ema_21,ema_50,0,23,73,3.87959,58.40853,1.41146,-10.78766,0.89566,0.9174,8.09584,20.20002
176,ema_21,ema_50,0,46,55,3.70612,58.14689,1.33779,-10.16146,0.61343,0.93744,12.78962,20.19529
1062,ema_21,ema_50,0,51,96,3.62418,55.69884,3.01164,-18.04884,0.84287,0.55115,10.69453,20.16763
173,ema_21,ema_50,0,45,56,3.55196,57.11784,1.6093,-14.72483,0.66908,0.99921,13.91633,20.15722
1131,ema_21,ema_50,0,27,84,3.30816,58.08969,1.00875,-15.25917,0.87327,0.98512,13.07307,20.09707
1251,ema_21,ema_50,0,53,83,3.48198,58.59986,1.36033,-19.73739,0.64637,0.23703,12.49362,20.0828
971,ema_21,ema_50,0,29,90,3.59171,55.21679,1.20062,-19.64138,0.75444,0.99964,11.58564,19.9817
1217,ema_21,ema_50,0,40,93,3.22247,58.62814,3.10492,-19.54551,0.65942,0.84997,13.49321,19.93841
932,ema_21,ema_50,0,21,80,3.68186,56.33274,1.9917,-13.11532,0.71323,0.96228,8.31967,19.85623
718,ema_21,ema_50,0,29,80,3.8918,57.63298,1.53158,-17.9195,0.96166,0.94498,8.59338,19.84368
243,ema_21,ema_50,0,32,67,3.61667,53.6559,3.94168,-18.6193,0.85209,0.86141,14.76753,19.83843
406,ema_21,ema_50,0,46,58,3.54979,55.83876,2.08465,-1.44045,0.96806,0.88532,5.38711,19.75851
214,ema_21,ema_50,0,51,59,3.32673,58.27253,2.34211,-3.65394,0.64219,0.62447,10.74739,19.7583
881,ema_21,ema_50,0,24,91,3.92469,53.824,1.10975,-13.05566,0.99002,0.7207,8.04377,19.7224
197,ema_21,ema_50,0,49,64,3.85824,54.29822,5.51036,-2.23627,0.60428,0.30608,14.7185,19.67208
579,ema_21,ema_50,0,24,32,3.05312,58.51635,1.73092,-19.70072,0.97468,0.91402,7.4309,19.65856
1155,ema_9,ema_21,0,27,69,3.66689,58.37627,1.3506,-15.73648,0.96869,0.91979,9.86745,19.63086
678,ema_21,ema_50,0,24,83,3.52697,56.71353,1.31933,-19.94019,0.96965,0.63889,4.33734,19.62634
1173,ema_9,ema_21,0,28,82,3.77503,56.09815,3.80926,-5.59261,0.78036,0.10562,3.81233,19.55891
1182,ema_21,ema_50,0,22,73,4.3467,54.1176,1.14849,-10.75432,0.96476,0.8545,13.30072,19.52535
511,ema_21,ema_50,0,34,69,4.25458,54.05539,2.45737,-4.31353,0.93233,0.51219,8.90467,19.50828
681,ema_21,ema_50,0,21,31,4.38729,53.29718,1.80838,-19.12011,0.99949,0.69667,4.4546,19.45821
1004,ema_21,ema_50,0,45,76,3.5505,54.85824,2.95551,-5.48869,0.74535,0.81824,9.54077,19.45517
278,ema_21,ema_50,0,47,64,3.58585,55.22044,1.20005,-18.47711,0.86057,0.13993,13.0974,19.43848
494,ema_21,ema_50,0,36,71,3.55251,56.47442,2.11207,-5.29199,0.73128,0.98046,14.60703,19.4002
1070,ema_21,ema_50,0,28,89,4.35555,54.65173,1.99152,-9.80585,0.98861,0.97644,14.17378,19.38745
930,ema_9,ema_21,0,54,84,3.83207,57.40111,3.15883,-19.69478,0.95796,0.52709,14.04652,19.38144
1059,ema_21,ema_50,0,32,85,4.0371,53.67903,2.27988,-6.14471,0.92796,0.90376,13.17508,19.37655
871,ema_21,ema_50,0,34,78,3.95911,53.82112,1.14444,-16.18456,0.96585,0.52082,9.13458,19.35626
216,ema_21,ema_50,0,47,59,3.68681,53.1656,4.88121,-16.81565,0.71755,0.21469,13.89279,19.33938
625,ema_9,ema_21,0,26,92,3.81752,56.66149,2.10786,-3.97513,0.92642,0.16792,9.13371,19.33024
195,ema_21,ema_50,0,46,67,3.39059,58.64574,2.87282,-11.5818,0.52051,0.9233,9.54773,19.29184
603,ema_21,ema_50,0,39,47,4.02893,53.98415,2.16388,-15.44678,0.94672,0.5704,6.27624,19.24606
691,ema_21,ema_50,0,20,21,3.88696,58.6911,1.38935,-15.25172,0.80085,0.89116,5.08825,19.23653
520,ema_21,ema_50,0,35,54,3.58663,53.84591,3.9407,-13.03868,0.64197,0.4289,13.79901,19.23553
602,ema_21,ema_50,0,36,42,3.45885,57.63616,1.00197,-2.65938,0.87004,0.99027,4.85579,19.19226
119,ema_21,ema_50,0,54,57,3.78957,57.93072,1.09006,-3.10139,0.48023,0.99557,9.79308,19.16408
181,ema_21,ema_50,0,36,68,3.47946,57.28097,2.03189,-16.43961,0.57988,0.98349,14.32013,19.14524
266,ema_21,ema_50,0,57,64,3.66597,54.36897,1.17638,-17.00713,0.86225,0.22237,10.33931,19.13535
624,ema_21,ema_50,0,24,96,4.13086,53.97104,1.05805,-11.49845,0.9312,0.93556,7.94683,19.11821
389,ema_21,ema_50,0,57,63,3.30231,58.44072,2.74246,-10.16583,0.6003,0.36604,4.80624,19.11177
959,ema_21,ema_50,0,34,91,4.04842,53.38145,1.40795,-14.35681,0.9518,0.96596,5.96534,19.10438
380,ema_9,ema_21,0,21,83,3.22836,58.30254,3.07312,-12.57296,0.99118,0.48382,13.23554,19.06309
1071,ema_21,ema_50,0,25,83,4.04969,53.82229,3.35492,-12.95239,0.90987,0.91913,11.99986,19.05026
442,ema_21,ema_50,0,50,60,3.47497,57.59682,2.40691,-19.99807,0.9303,0.74143,13.31149,19.00513
388,ema_21,ema_50,0,60,65,3.6488,54.51707,3.05275,-5.47636,0.9065,0.56948,9.56486,18.99869
245,ema_21,ema_50,0,51,68,3.49217,55.15287,1.24101,-18.79373,0.89493,0.25694,12.03898,18.97618
330,ema_21,ema_50,0,40,53,3.78214,57.63948,3.05968,0.97707,0.80992,0.77174,8.06748,18.96573
205,ema_21,ema_50,0,50,60,3.06435,58.65664,3.82805,-16.60955,0.89923,0.4502,11.85228,18.94355
187,ema_21,ema_50,0,32,70,3.63324,54.65612,2.74078,-19.24563,0.72538,0.90208,14.22422,18.93362
529,ema_21,ema_50,0,57,62,3.70013,57.73088,1.13093,-19.31834,0.51559,0.72089,4.86435,18.89984
306,ema_21,ema_50,0,40,55,3.87103,53.5306,5.61709,-5.30065,0.98419,0.66594,10.42413,18.89494
1008,ema_21,ema_50,0,26,81,3.87274,57.62962,1.02551,-12.57948,0.85171,0.89556,6.7163,18.8815
387,ema_9,ema_21,0,53,61,3.78596,57.66761,1.64059,-8.50408,0.89959,0.60094,10.6555,18.84134
32,ema_21,ema_50,0,59,74,3.5358,56.20441,1.84966,-15.42165,0.69246,0.47832,10.69908,18.7993
558,ema_21,ema_50,0,27,35,3.63275,54.3639,1.0213,-12.8576,0.64776,0.94053,5.08702,18.74878
1257,ema_21,ema_50,0,34,75,3.89607,54.68639,1.91769,-16.55619,0.96313,0.94731,8.07194,18.71933
903,ema_9,ema_21,0,28,100,3.55773,58.39584,4.66574,-0.9492,0.77454,0.21974,8.67979,18.6848
124,ema_21,ema_50,0,47,51,3.45312,58.67113,1.49932,-14.29041,0.44615,0.84349,10.05979,18.68375
572,ema_21,ema_50,0,21,33,3.87273,57.98818,3.62593,-7.19441,0.81423,0.981,6.07046,18.62766
222,ema_21,ema_50,0,42,59,4.42506,53.67264,1.12279,-11.38221,0.85645,0.92293,3.97152,18.59059
329,ema_21,ema_50,0,21,84,3.89913,56.5801,5.40498,-16.43414,0.98761,0.62536,14.61918,18.50992
1196,ema_21,ema_50,0,29,85,4.02574,54.25335,1.96724,-16.42909,0.97456,0.85732,14.40824,18.43615
515,ema_21,ema_50,0,59,64,3.53454,54.89243,1.19386,-18.81494,0.93212,0.56435,12.91706,18.4231
1090,ema_21,ema_50,0,26,100,3.88875,56.89072,3.54724,-6.0532,0.80727,0.78691,11.72788,18.4106
1023,ema_21,ema_50,0,21,71,4.25154,54.432,1.19918,-14.19199,0.9141,0.97919,10.19879,18.37979
150,ema_21,ema_50,0,48,56,3.60503,54.05659,5.1059,-11.92428,0.84336,0.23588,14.91394,18.36682
107,ema_21,ema_50,0,22,34,3.77541,54.36316,1.06798,-0.32538,0.46663,0.72536,8.3628,18.34538
1166,ema_21,ema_50,0,57,67,3.8926,58.42079,4.04718,-1.62485,0.71035,0.86354,10.06214,18.33878
859,ema_21,ema_50,0,23,74,3.88824,56.62214,1.09372,-10.9046,0.90997,0.96982,9.72277,18.32911
1031,ema_21,ema_50,0,20,71,4.09196,54.11776,1.89404,-9.33015,0.83186,0.9503,11.87487,18.32628
365,ema_21,ema_50,0,57,62,3.99941,53.36499,3.28025,-9.57823,0.88337,0.7236,10.1762,18.30035
161,ema_21,ema_50,0,53,58,3.82525,51.07663,5.66954,-4.29347,0.76303,0.14645,14.95753,18.28884
1233,ema_21,ema_50,0,22,73,4.25735,55.70691,1.05805,-14.68329,0.99942,0.98013,5.10409,18.25918
1232,ema_9,ema_21,0,29,76,3.34049,58.57366,2.14291,-19.6521,0.98388,0.79842,12.3788,18.2534
496,ema_21,ema_50,0,55,60,3.46504,57.4191,1.01368,-19.3685,0.92776,0.92724,9.24202,18.22542
1279,ema_21,ema_50,0,21,71,3.99906,54.01085,1.59493,-19.84457,0.81878,0.97882,3.68542,18.21741
654,ema_21,ema_50,0,35,43,3.74524,56.56406,2.83031,-1.04317,0.87409,0.99874,3.95249,18.20819
309,ema_21,ema_50,0,42,56,3.4009,57.56174,2.93717,-6.16309,0.90995,0.56859,11.45201,18.18428
154,ema_21,ema_50,0,26,55,4.10744,53.38706,1.73068,-11.73696,0.89815,0.42173,3.56809,18.17757
194,ema_21,ema_50,0,44,66,3.58424,56.58108,2.90576,-17.02177,0.52068,0.97804,10.93601,18.17715
148,ema_21,ema_50,0,55,59,4.20763,53.55612,3.09741,-15.58747,0.90187,0.2868,13.76687,18.09414
699,ema_9,ema_21,0,21,99,3.66493,57.26495,3.42699,-17.68203,0.93928,0.94708,4.40179,18.07525
