trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,vol_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
27,0.02662,0.04643,0.02252,15.76003,31.911,median_nonzero,0,3,60,0.30462,7.6612,1.56788,-3.96712,0.12128,0.32351,14.90234,38860699837.56698
57,0.02458,0.02348,0.03586,15.98732,21.59252,median_nonzero,0,14,81,0.11991,11.20193,1.54108,-5.62981,0.07221,0.34649,12.75434,38435152625.78413
45,0.03245,0.04962,0.02298,16.16868,34.15982,median_nonzero,0,5,105,0.05593,11.71171,1.82118,-6.56539,0.1066,0.22984,14.16406,38247467211.57825
63,0.03433,0.0209,0.04302,16.17263,26.28586,median_nonzero,0,11,80,0.06687,3.74557,1.31693,-2.41573,0.09373,0.33376,13.31562,37283957005.02842
77,0.02726,0.07926,0.02808,16.26778,20.7957,median_nonzero,0,4,85,0.05224,3.70312,1.91228,-2.83303,0.14265,0.21889,18.5167,36711130514.18697
39,0.02801,0.04038,0.02447,15.54688,29.32282,median_nonzero,0,7,110,0.17431,8.70539,1.26021,-3.28706,0.26956,0.27746,17.59913,36681098979.18577
56,0.04361,0.01361,0.02435,16.7916,17.62858,median_nonzero,0,3,102,0.10001,12.55344,1.11225,-3.56992,0.05378,0.32767,14.63665,36673004788.99696
30,0.01655,0.01928,0.01429,16.51634,35.98801,median_nonzero,0,5,69,0.01064,10.88381,1.37168,-6.13135,0.24372,0.18212,17.87231,36234908609.99781
21,0.04459,0.01142,0.01662,16.12161,26.30361,median_nonzero,0,8,67,0.07527,12.54303,1.38456,-4.46313,0.11935,0.31367,13.52091,36132799016.39833
32,0.02962,0.0674,0.02112,15.76985,28.7318,median_nonzero,0,4,60,0.04034,11.90552,1.74279,-5.82831,0.17831,0.3104,16.97628,35621194963.95668
80,0.0297,0.02117,0.03392,17.08868,25.48256,median_nonzero,0,2,75,0.01736,7.67745,1.82845,-2.20473,0.11537,0.25457,16.15807,35580161573.48771
43,0.03622,0.02775,0.01369,16.80803,32.99751,median_nonzero,0,1,107,0.06919,11.39256,1.50484,-4.29242,0.10228,0.24677,12.1705,35575810547.77671
35,0.01995,0.01723,0.05627,16.3413,32.88872,median_nonzero,0,6,64,0.12605,10.13615,1.88133,-3.41124,0.21764,0.23631,19.62873,34265587239.55207
16,0.04722,0.01148,0.01754,16.13183,26.14409,median_nonzero,0,8,64,0.10168,12.94526,1.3716,-3.86072,0.12431,0.31053,12.60056,33540972730.68506
18,0.05984,0.06347,0.02883,16.72196,15.0707,median_nonzero,0,12,64,0.29076,5.80792,0.24923,-5.65227,0.05817,0.2571,8.11933,32075693858.1726
10,0.03423,0.04433,0.01192,15.93187,24.2004,median_nonzero,0,9,55,0.25319,12.51483,0.11859,-6.4279,0.16142,0.34941,1.79419,31733874881.41637
5,0.09195,0.0572,0.05311,15.354,30.80284,median_nonzero,0,11,60,0.02055,6.41548,0.99765,-1.10502,0.4379,0.03,15.9423,30655755041.20139
106,0.01732,0.02219,0.02041,18.5115,29.66523,median_nonzero,0,7,95,0.07232,3.88091,1.94326,-3.82153,0.06906,0.01981,2.84849,28081986761.57194
48,0.0436,0.01485,0.01973,17.07213,35.12818,median_nonzero,0,6,101,0.04675,9.72194,1.5688,-5.96559,0.23306,0.27874,9.29674,26452050434.95973
23,0.02471,0.02473,0.02973,17.88531,22.90392,median_nonzero,0,6,74,0.02323,11.4604,1.81383,-6.08778,0.08993,0.26702,14.67611,26139350892.15273
12,0.03258,0.02752,0.01194,17.40942,15.1993,median_nonzero,0,9,72,0.34889,10.33541,0.14805,-6.94821,0.1405,0.34552,6.6617,25783906249.60595
110,0.01804,0.05925,0.02509,17.93245,31.98323,median_nonzero,0,7,91,0.27648,3.83718,1.99567,-3.23437,0.05239,0.02789,2.14868,25506486247.91502
26,0.01155,0.01725,0.02935,17.27804,30.54327,median_nonzero,0,3,67,0.18823,9.17322,1.96046,-4.68019,0.24291,0.23073,19.8924,25211329610.92711
19,0.08552,0.04685,0.01888,15.12182,30.00767,median_nonzero,0,17,97,0.18823,3.273,0.75422,-3.80295,0.18179,0.32676,4.12177,24814922546.16187
14,0.09956,0.05928,0.02606,15.26084,28.23944,median_nonzero,0,7,55,0.29534,6.32883,0.37742,-2.9135,0.16166,0.2899,13.80738,24778809628.74707
46,0.06053,0.03044,0.01054,17.55712,31.33922,median_nonzero,0,1,92,0.09089,10.60808,1.68681,-4.90225,0.16776,0.30003,12.83506,23644703732.71822
20,0.04733,0.09712,0.04276,16.49522,23.98165,median_nonzero,0,10,59,0.11105,8.84023,0.50385,-2.06092,0.31877,0.26122,11.64259,22652754544.57383
55,0.04991,0.03643,0.03277,16.3815,25.10599,median_nonzero,0,20,115,0.16365,12.05856,1.2934,-4.80897,0.11703,0.34189,15.6689,22310142825.33531
13,0.01024,0.02525,0.02183,17.03148,23.3509,median_nonzero,0,12,69,0.21761,3.44015,0.43952,-4.7909,0.27386,0.28886,13.21702,22005191897.80863
70,0.01986,0.01343,0.04315,15.82655,27.51799,median_nonzero,0,16,78,0.02901,5.52247,1.77001,-0.59717,0.42516,0.26605,17.226,21826833128.87873
37,0.01571,0.03135,0.03274,19.30716,25.0074,median_nonzero,0,1,62,0.0313,11.25334,1.4871,-5.11231,0.072,0.24779,18.74476,19117602256.01993
