trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_choice,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
66,0.00166,0.00333,0.02773,5.40598,6.49463,median_nonzero,0,1,83,8.10532,0.08058,-0.80661,0.0064,0.00528,2.99861,1728055836632.976
294,0.00125,0.00327,0.02516,5.41412,6.32015,median_nonzero,0,1,86,7.9454,0.08078,-1.38981,0.00663,0.00674,6.17362,1727931484630.5076
347,0.00118,0.00345,0.02564,5.41318,6.37048,median_nonzero,0,1,86,7.91566,0.0808,-1.0422,0.00656,0.00673,6.29586,1727627773694.0247
401,0.00118,0.00348,0.02592,5.4157,6.34202,median_nonzero,0,1,86,7.85854,0.08036,-1.66945,0.00665,0.00685,6.26053,1727417073068.6133
363,0.00124,0.00351,0.025,5.40388,6.30599,median_nonzero,0,1,86,7.87919,0.08496,-0.36494,0.00658,0.00675,6.37329,1727354580570.711
296,0.00105,0.0033,0.025,5.40973,6.30039,median_nonzero,0,1,80,7.9409,0.08,-1.43923,0.00651,0.00659,6.32552,1727277750253.4487
395,0.0011,0.0034,0.02544,5.40002,6.31124,median_nonzero,0,1,86,7.94294,0.08675,-1.52937,0.00659,0.00679,4.31346,1726831522223.5837
412,0.00112,0.00346,0.025,5.41341,6.31291,median_nonzero,0,1,86,7.94967,0.08217,-1.48809,0.00658,0.00686,5.51903,1726632461710.909
189,0.00118,0.0035,0.02559,5.41629,6.33025,median_nonzero,0,1,86,7.96096,0.08004,-2.26289,0.0066,0.00675,6.60155,1726621813666.882
115,0.00135,0.00315,0.02867,5.41293,6.4301,median_nonzero,0,1,85,8.12315,0.08095,-4.21799,0.006,0.0057,5.57106,1726347626360.9766
200,0.00111,0.00339,0.0256,5.4124,6.3453,median_nonzero,0,1,86,7.93242,0.08159,-1.53573,0.00667,0.00697,5.65615,1726135557211.4355
63,0.00175,0.00358,0.02666,5.40789,6.46052,median_nonzero,0,1,82,8.14247,0.08079,-0.8721,0.00641,0.0051,3.07787,1725586171969.3137
313,0.00114,0.00394,0.02555,5.41516,6.33313,median_nonzero,0,1,87,7.92858,0.08078,-1.23273,0.00745,0.00674,6.48116,1725468408920.673
97,0.00168,0.00313,0.02701,5.41434,6.38786,median_nonzero,0,1,83,7.80001,0.08031,-2.57518,0.00621,0.00545,5.43373,1725244338014.1724
90,0.00152,0.00322,0.02875,5.40035,6.44981,median_nonzero,0,1,84,8.17644,0.08482,-3.07451,0.00618,0.006,4.94231,1725046954199.8103
123,0.00123,0.00307,0.0275,5.41466,6.37952,median_nonzero,0,1,84,8.1464,0.08126,-2.91995,0.00627,0.00582,6.6438,1724135189464.9414
134,0.00138,0.00301,0.02759,5.41327,6.40873,median_nonzero,0,1,84,8.16678,0.08109,-2.4262,0.00632,0.00618,6.79069,1722881241697.6003
388,0.00107,0.00352,0.02536,5.41803,6.31322,median_nonzero,0,1,87,7.96136,0.08155,-1.08276,0.00656,0.00682,4.42797,1722182231516.5156
138,0.00139,0.00318,0.02709,5.41754,6.38396,median_nonzero,0,1,84,7.97738,0.08003,-4.96993,0.00638,0.00612,7.33198,1721998371276.6873
100,0.00156,0.00328,0.02854,5.41197,6.42608,median_nonzero,0,1,83,8.15146,0.08188,-3.82983,0.0063,0.00583,3.4895,1721928961177.6404
270,0.00117,0.00344,0.02585,5.40363,6.30104,median_nonzero,0,1,87,7.93477,0.08813,-1.35497,0.00649,0.00683,5.43074,1721300837572.9033
52,0.00191,0.00372,0.02509,5.40813,6.48806,median_nonzero,0,1,82,8.13827,0.08098,-0.01622,0.00664,0.00518,0.66505,1720667006151.9546
93,0.00145,0.00304,0.02837,5.41534,6.42376,median_nonzero,0,1,83,8.17618,0.08144,-3.80174,0.00611,0.00573,3.57054,1720447298246.733
272,0.00114,0.0034,0.03225,5.40738,6.30028,median_nonzero,0,1,87,7.92696,0.08619,-1.15405,0.00693,0.00688,5.31742,1720252990055.4973
51,0.0019,0.00366,0.02503,5.41073,6.48826,median_nonzero,0,1,82,8.13897,0.08083,-0.223,0.00657,0.00514,2.61293,1719663228752.495
334,0.00118,0.00341,0.02658,5.41907,6.35564,median_nonzero,0,1,87,7.93843,0.08142,-1.2222,0.00649,0.00672,5.75813,1718528500812.6704
78,0.00158,0.00302,0.02907,5.41948,6.45416,median_nonzero,0,1,84,8.19049,0.08001,-4.7654,0.0062,0.00571,4.30743,1718241850867.9697
104,0.00133,0.00324,0.02759,5.41523,6.40648,median_nonzero,0,1,83,8.17129,0.08092,-2.31969,0.00616,0.00579,2.70715,1718123869530.792
106,0.00143,0.0032,0.02689,5.42069,6.41577,median_nonzero,0,1,83,7.87298,0.08001,-3.33697,0.00613,0.00557,3.40721,1716791423796.366
85,0.00149,0.00308,0.02967,5.41664,6.41743,median_nonzero,0,1,84,8.19802,0.08159,-3.15167,0.00607,0.00571,4.62913,1716655813818.8884
88,0.00153,0.00306,0.02943,5.41601,6.43906,median_nonzero,0,1,85,8.16629,0.08229,-2.44365,0.00615,0.00548,6.12002,1716605095457.8633
61,0.00174,0.0036,0.02539,5.4101,6.52405,median_nonzero,0,1,82,8.11537,0.08401,-1.25709,0.0064,0.00502,0.38282,1715827808843.8137
43,0.00174,0.00367,0.02628,5.4125,6.51961,median_nonzero,0,1,82,8.0931,0.08115,-0.95734,0.00647,0.005,0.13319,1715777146639.0903
263,0.00119,0.00357,0.02621,5.41047,6.34652,median_nonzero,0,1,86,7.97266,0.08549,-1.6727,0.00662,0.00678,5.55928,1715417655381.2883
40,0.00181,0.00368,0.02566,5.41286,6.5046,median_nonzero,0,1,82,8.12561,0.08122,-0.02819,0.00632,0.00531,0.08582,1715230312832.014
86,0.00147,0.00322,0.03049,5.42454,6.40438,median_nonzero,0,1,84,8.17188,0.08002,-4.50851,0.00612,0.00576,5.38252,1715044842647.7964
116,0.00139,0.00301,0.02843,5.40487,6.42531,median_nonzero,0,1,84,8.16259,0.08917,-3.89357,0.00628,0.00556,4.97999,1714900650805.9094
53,0.0019,0.00367,0.02513,5.41126,6.4843,median_nonzero,0,1,82,8.08971,0.08272,-0.11654,0.00656,0.00518,0.77932,1714272985540.396
117,0.00129,0.00309,0.02768,5.41845,6.43834,median_nonzero,0,1,84,8.17055,0.08261,-3.46518,0.00616,0.00578,2.3694,1714007381619.3386
255,0.00105,0.00353,0.02523,5.40674,6.34483,median_nonzero,0,1,86,7.9455,0.08967,-1.46068,0.0065,0.00661,5.92207,1713874855096.4182
96,0.0015,0.00304,0.02896,5.42166,6.43328,median_nonzero,0,1,85,8.19948,0.08123,-4.60721,0.00605,0.00592,4.09592,1713521695620.8557
