trial,min_prof_thr,max_down_prop,gain_tightfact,tau_time,tau_dur,thresh_mode,reset_peak,rsi_min_thresh,rsi_max_thresh,adx_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,avg_daily_pnl
795,0.017,0.00459,0.04977,9.06697,6.16415,median_nonzero,0,1,75,7.09899,0.21025,-2.21034,0.00151,0.00824,20.38482,141578392953.10464
867,0.01237,0.00478,0.04928,9.00077,7.8827,median_nonzero,0,1,74,7.08676,0.20892,-2.10799,0.00132,0.01159,20.58086,141532732529.2386
383,0.01144,0.00417,0.06208,9.11961,6.56213,median_nonzero,0,0,68,7.92172,0.2002,-1.74348,0.00485,0.01815,23.62884,141509922748.00983
857,0.0133,0.00439,0.04946,9.00104,7.35877,median_nonzero,0,1,73,7.04042,0.21811,-2.10272,0.00133,0.01237,22.27167,141494800892.44247
1084,0.01001,0.0051,0.0524,9.1367,6.24314,median_nonzero,0,2,72,7.20677,0.20016,-1.93568,0.00158,0.01201,16.65048,141474510437.743
263,0.0109,0.00622,0.04926,9.07244,6.72396,median_nonzero,0,1,70,7.522,0.2067,-2.22916,0.00496,0.02278,24.19566,141458294545.18964
799,0.01306,0.00439,0.04959,9.09978,6.207,median_nonzero,0,1,73,7.1132,0.20826,-2.23164,0.00802,0.00852,19.63777,141448213788.52106
439,0.01202,0.00511,0.05835,9.09947,6.35138,median_nonzero,0,0,73,7.39138,0.21085,-1.76883,0.00501,0.01848,22.40505,141443277314.10406
1420,0.01385,0.00522,0.05224,9.07109,6.31675,median_nonzero,0,2,72,7.18788,0.20876,-2.10092,0.00126,0.01152,13.1611,141405384551.69687
1187,0.01002,0.00486,0.05177,9.13531,6.18799,median_nonzero,0,1,76,7.16732,0.21316,-1.85654,0.00167,0.00883,11.27143,141366340038.85284
325,0.01153,0.0052,0.0535,9.11606,6.1905,median_nonzero,0,0,70,7.73032,0.21116,-1.73463,0.00458,0.02139,26.59328,141361328495.7285
692,0.01072,0.00607,0.04714,9.15995,6.05212,median_nonzero,0,1,76,7.22534,0.20737,-2.15784,0.00161,0.00493,24.91536,141352077097.6745
244,0.01149,0.00382,0.04823,9.04107,6.90756,median_nonzero,0,1,73,7.61364,0.21257,-2.40693,0.00534,0.02472,23.63924,141334128178.19022
315,0.01117,0.00452,0.05521,9.15147,6.21853,median_nonzero,0,0,68,7.74258,0.20018,-1.79612,0.00423,0.01969,25.38594,141313431405.66946
1267,0.01079,0.00474,0.05257,9.12521,6.39821,median_nonzero,0,1,75,7.18672,0.20699,-1.95061,0.00195,0.00931,14.80129,141309446802.26328
696,0.01069,0.00953,0.04793,9.10684,6.089,median_nonzero,0,2,76,7.2531,0.20562,-2.06839,0.00149,0.00545,24.10134,141300062541.15988
610,0.01135,0.00508,0.05777,9.10206,6.64317,median_nonzero,0,0,80,7.31915,0.20707,-2.06862,0.00198,0.01245,24.75573,141292177998.35532
