trial,col_signal,sign_thresh,reset_peak,rsi_min_thresh,rsi_max_thresh,atr_mult,vwap_atr_mult,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
69,ema_9,ema_21,0,90,251,6.62175,-7.1976,0.09233,0.00556,3.47296,08:00:00,-11.72634
25,ema_9,ema_21,0,95,286,22.27182,-9.94659,0.27033,0.42438,9.70073,13:30:00,-12.2787
85,ema_9,ema_21,0,96,300,2.91713,-2.47446,0.05304,0.55488,55.51872,13:30:00,-12.2788
54,ema_9,ema_21,0,88,254,20.89229,-9.90167,0.03429,0.64172,27.74735,13:30:00,-12.91823
260,ema_9,ema_21,1,63,90,28.86862,-7.68302,0.34742,0.12012,17.65588,13:30:00,-13.43113
239,ema_9,ema_21,1,93,99,24.5921,-8.27846,0.3431,0.11106,14.79717,13:30:00,-13.91507
55,ema_9,ema_21,0,93,269,26.75153,-8.48361,0.08716,0.79588,40.19505,13:30:00,-14.51725
338,ema_9,ema_21,1,68,179,19.23359,9.23382,0.21844,0.09855,75.29908,13:30:00,-15.10537
331,ema_9,ema_21,1,57,171,18.25842,6.04617,0.1829,0.09455,69.56508,13:30:00,-15.33276
74,ema_9,ema_21,0,95,294,26.58487,-8.73822,0.13105,0.39199,26.5698,13:30:00,-15.41908
236,ema_9,ema_21,1,34,87,25.75776,-8.13764,0.32377,0.13074,16.97027,13:30:00,-16.38645
83,ema_9,ema_21,0,95,295,4.72277,-8.85857,0.04916,0.82262,50.07617,13:30:00,-16.56796
75,ema_9,ema_21,0,97,268,2.81535,-9.43418,0.09832,0.49803,35.75133,13:30:00,-17.39664
258,ema_9,ema_21,1,73,95,26.71406,-8.2009,0.33913,0.1556,13.67985,13:30:00,-18.01426
168,ema_9,ema_21,1,93,208,13.48658,-7.02061,0.4144,0.23183,29.1188,13:30:00,-18.46922
100,ema_9,ema_21,0,92,265,18.8651,-7.2317,0.09156,0.45068,2.81409,13:30:00,-18.81291
94,ema_9,ema_21,0,96,290,6.6863,-8.67322,0.07828,0.58951,46.3683,13:30:00,-19.33638
97,ema_9,ema_21,0,96,287,26.77647,-9.52886,0.03863,0.70053,22.71989,08:00:00,-19.86225
306,ema_9,ema_21,1,22,195,20.81649,5.2878,0.25185,0.13063,23.76315,13:30:00,-20.29322
35,ema_9,ema_21,0,87,240,14.1872,-6.95333,0.02995,0.56377,63.59292,13:30:00,-20.86088
109,ema_9,ema_21,0,91,279,28.14134,-9.99185,0.06931,0.59803,44.51612,13:30:00,-26.42425
22,ema_9,ema_21,0,93,300,29.40927,-8.13186,0.12423,0.75763,10.53997,13:30:00,-27.09837
129,ema_9,ema_21,1,93,293,14.67107,-6.42972,0.49398,0.46977,38.19804,13:30:00,-30.18259
138,ema_9,ema_21,1,91,299,11.62042,-4.71674,0.43384,0.25274,39.03213,13:30:00,-30.62905
120,ema_9,ema_21,1,92,283,28.95566,-5.76369,0.68091,0.41236,39.74671,13:30:00,-31.60907
37,ema_9,ema_21,0,96,288,1.58407,1.14881,0.22158,0.46596,17.71413,13:30:00,-31.73842
115,ema_9,ema_21,0,94,292,1.03508,-8.15544,0.09243,0.48414,51.06645,13:30:00,-31.81315
80,ema_9,ema_21,0,93,285,27.87794,-7.68297,0.02832,0.47698,10.22781,08:00:00,-33.57531
5,ema_9,ema_21,1,60,279,15.0026,-0.32027,0.69307,0.10589,51.20189,08:00:00,-35.637
89,ema_9,ema_21,0,94,282,5.11609,-9.5901,0.11584,0.80312,38.3572,13:30:00,-38.97179
26,ema_9,ema_21,1,82,267,18.69078,-3.3296,0.05429,0.32142,14.90056,08:00:00,-39.38774
116,ema_9,ema_21,0,89,268,15.4149,-9.04287,0.03843,0.64939,11.86127,08:00:00,-40.38537
110,ema_9,ema_21,0,93,290,24.15993,-8.66358,0.34186,0.57572,37.04182,13:30:00,-40.84607
160,ema_9,ema_21,1,49,300,16.78294,-6.69007,0.34588,0.23226,32.1128,13:30:00,-40.84822
158,ema_9,ema_21,1,59,275,15.32911,-6.52467,0.37706,0.21177,33.41693,13:30:00,-41.66956
38,ema_9,ema_21,1,90,221,3.9233,-8.86625,0.10528,0.35327,4.4304,13:30:00,-44.93337
63,ema_9,ema_21,0,90,281,4.24802,-7.97778,0.07474,0.43389,32.53981,13:30:00,-47.94266
79,ema_9,ema_21,0,88,296,15.51375,-9.93852,0.07145,0.75147,2.44482,13:30:00,-48.16628
67,ema_9,ema_21,0,94,275,2.05446,-4.24635,0.19466,0.57009,24.50736,13:30:00,-50.8771
44,ema_9,ema_21,0,90,276,25.23634,-8.00817,0.15346,0.84708,57.8294,13:30:00,-51.9692
8,ema_9,ema_21,1,91,108,9.49406,4.20091,0.7165,0.40106,8.97576,13:30:00,-54.09667
30,ema_9,ema_21,0,88,183,9.93164,-8.4418,0.09609,0.8825,44.65861,13:30:00,-58.47892
60,ema_9,ema_21,0,93,271,5.72384,-1.59224,0.27078,0.38381,15.84947,13:30:00,-65.23546
86,ema_9,ema_21,0,91,286,2.35318,-0.57812,0.14178,0.8446,53.71383,13:30:00,-65.86323
99,ema_9,ema_21,1,30,257,4.22211,0.16567,0.07067,0.06871,48.61983,13:30:00,-71.00342
70,ema_9,ema_21,1,80,300,3.28846,8.48394,0.03074,0.62171,7.37566,13:30:00,-71.60609
149,ema_9,ema_21,1,70,97,9.91981,-4.02398,0.55348,0.25916,36.55012,13:30:00,-80.68748
59,ema_9,ema_21,0,83,291,12.02491,-9.1898,0.0786,0.75887,39.02592,13:30:00,-82.11576
46,ema_9,ema_21,1,87,247,13.77293,-9.14046,0.79197,0.60084,5.01081,13:30:00,-83.01687
47,ema_9,ema_21,0,92,290,29.99465,5.66446,0.91741,0.87606,19.90775,13:30:00,-84.51095
13,ema_9,ema_21,0,85,256,16.58924,9.84185,0.1596,0.69316,13.97875,13:30:00,-97.60489
78,ema_9,ema_21,0,85,273,20.4162,5.05189,0.16888,0.93529,31.56236,13:30:00,-102.91491
15,ema_9,ema_21,0,90,297,10.66878,6.3925,0.82863,0.2736,1.9648,13:30:00,-107.61107
