trial,col_signal,sign_thresh,reset_peak,rsi_thresh,atr_mult,vwap_atr_mult,invest_frac,buy_factor,sell_factor,trailstop_pct,sess_start,avg_daily_pnl
191,ema_9,ema_21,0,73,13.44001,3.88782,0.00834,0.09004,0.35759,7.43798,14:30:00,18.97997
172,ema_9,ema_21,0,76,16.56381,0.74076,0.03342,0.09541,0.17472,48.48189,14:30:00,18.9622
429,ema_9,ema_21,1,70,8.68498,1.36231,0.00587,0.07385,0.41585,15.59428,13:30:00,18.78985
1368,ema_9,ema_21,1,63,10.67142,1.65922,0.01897,0.00554,0.77142,9.48745,13:30:00,18.69896
1468,ema_9,ema_21,1,80,16.46348,-2.469,0.00537,0.31608,0.88869,51.88783,14:30:00,18.67184
278,ema_9,ema_21,1,63,16.19885,2.68921,0.01152,0.11228,0.70927,21.17881,13:30:00,18.66142
524,ema_9,ema_21,1,78,9.83507,3.73518,0.00519,0.12224,0.55108,35.46591,13:30:00,18.65424
909,ema_9,ema_21,1,71,9.35216,0.66367,0.00674,0.19842,0.54505,19.28251,13:30:00,18.57901
1157,ema_9,ema_21,1,71,19.08842,4.3075,0.00503,0.09645,0.65453,56.73902,14:30:00,18.49486
1988,ema_9,ema_21,1,80,11.18115,3.53202,0.04231,0.04568,0.77617,28.30983,13:30:00,18.47872
412,ema_9,ema_21,1,76,13.07904,-1.92545,0.00967,0.29073,0.63217,46.52848,13:30:00,18.40345
1585,ema_9,ema_21,1,78,9.91762,-1.83384,0.01429,0.00455,0.57938,20.62953,13:30:00,18.36825
712,ema_9,ema_21,1,75,15.15599,4.40233,0.01793,0.17222,0.9574,55.71578,14:30:00,18.34257
323,ema_9,ema_21,1,80,16.00182,4.94392,0.01939,0.11983,0.31642,36.50182,14:30:00,18.33443
1845,ema_9,ema_21,1,79,11.49172,0.41048,0.02364,0.22608,0.62988,20.90432,13:30:00,18.28018
1829,ema_9,ema_21,1,76,16.92404,-2.35862,0.0195,0.06094,0.88158,17.80143,13:30:00,18.27704
841,ema_9,ema_21,1,77,8.49149,0.64536,0.01883,0.09863,0.38933,25.93822,13:30:00,18.182
554,ema_9,ema_21,1,75,14.08903,-1.81159,0.00531,0.21471,0.46076,18.01561,13:30:00,18.04374
130,ema_9,ema_21,0,63,12.5023,-4.90746,0.00638,0.08328,0.08763,46.11641,14:30:00,18.0163
364,ema_9,ema_21,1,67,18.58715,0.12694,0.00731,0.16426,0.75522,53.54881,13:30:00,18.00296
218,ema_9,ema_21,0,78,19.45785,0.55826,0.02109,0.0267,0.10605,31.48148,14:30:00,17.98225
843,ema_9,ema_21,1,77,12.15193,-0.42819,0.00655,0.01447,0.96895,54.8843,14:30:00,17.97155
456,ema_9,ema_21,1,67,10.39664,0.15264,0.01366,0.02788,0.58654,33.68474,13:30:00,17.92632
1737,ema_9,ema_21,1,76,10.53162,1.84961,0.00591,0.02957,0.63672,39.38296,13:30:00,17.89225
1859,ema_9,ema_21,1,69,9.3017,-0.84517,0.01412,0.1278,0.49116,26.34351,13:30:00,17.85672
318,ema_9,ema_21,0,71,11.759,0.5223,0.00538,0.20877,0.23815,58.83168,14:30:00,17.82791
713,ema_9,ema_21,1,76,16.2542,4.24132,0.0157,0.02057,0.97554,42.79035,14:30:00,17.81916
304,ema_9,ema_21,0,76,12.06291,4.11025,0.02746,0.121,0.81124,5.68326,13:30:00,17.77462
470,ema_9,ema_21,1,68,12.77144,-0.17577,0.01225,0.25208,0.96775,41.46804,14:30:00,17.72199
728,ema_9,ema_21,0,66,18.48595,0.7985,0.01944,0.07186,0.72995,30.34127,13:30:00,17.65568
147,ema_9,ema_21,0,73,14.73895,4.32929,0.03704,0.04922,0.25418,47.50082,14:30:00,17.63444
240,ema_9,ema_21,1,73,8.60128,2.25437,0.00703,0.41747,0.36858,33.26612,14:30:00,17.5674
1047,ema_9,ema_21,1,73,8.93926,1.38645,0.00508,0.04,0.50103,24.21297,13:30:00,17.55626
349,ema_9,ema_21,0,62,16.96801,3.84292,0.06341,0.00474,0.84781,38.60122,13:30:00,17.55125
324,ema_9,ema_21,1,75,14.01619,-2.28562,0.00653,0.10723,0.47426,18.44181,13:30:00,17.50212
1526,ema_9,ema_21,1,68,9.88368,-2.18782,0.00666,0.05715,0.45283,10.16773,13:30:00,17.49386
800,ema_9,ema_21,1,71,12.13082,-0.85291,0.01549,0.09209,0.9365,54.62893,14:30:00,17.487
198,ema_9,ema_21,0,71,13.39209,4.59862,0.00957,0.00235,0.35043,14.39991,14:30:00,17.38334
161,ema_9,ema_21,0,54,14.6136,2.24832,0.0126,0.09106,0.0249,23.0998,14:30:00,17.32495
1761,ema_9,ema_21,1,67,9.41228,-0.91787,0.01759,0.01565,0.49294,7.8944,13:30:00,17.31811
1897,ema_9,ema_21,1,74,9.76543,0.44707,0.00684,0.0013,0.64854,17.71088,13:30:00,17.31601
453,ema_9,ema_21,0,68,18.34486,4.82608,0.00812,0.18144,0.16829,8.49654,13:30:00,17.28373
1358,ema_9,ema_21,1,77,15.91468,0.25007,0.01023,0.21918,0.97563,58.01435,14:30:00,17.2314
603,ema_9,ema_21,1,70,15.59604,-2.06054,0.00686,0.13312,0.74064,49.14332,13:30:00,17.23067
1305,ema_9,ema_21,1,66,10.8415,2.43091,0.01395,0.15274,0.60024,30.09036,13:30:00,17.17936
129,ema_9,ema_21,0,72,17.80536,-0.74586,0.01667,0.04077,0.05655,33.71057,14:30:00,17.17604
2009,ema_9,ema_21,1,63,10.06704,-0.61038,0.0129,0.00682,0.55819,35.21513,13:30:00,17.17388
233,ema_9,ema_21,0,73,13.25838,4.73547,0.00712,0.00947,0.1603,30.81257,14:30:00,17.13472
1001,ema_9,ema_21,1,76,16.1458,4.89857,0.03308,0.03761,0.90712,34.56024,14:30:00,17.11279
341,ema_9,ema_21,0,80,14.49814,4.00551,0.02494,0.27558,0.58103,40.72591,14:30:00,17.09043
515,ema_9,ema_21,1,78,18.67271,-0.23416,0.02779,0.07334,0.69342,18.2201,13:30:00,17.0845
1421,ema_9,ema_21,1,74,10.03738,0.97076,0.0103,0.12986,0.66724,13.84398,13:30:00,17.08447
194,ema_9,ema_21,0,79,18.7581,-0.76086,0.01522,0.10708,0.29083,54.25575,14:30:00,17.07799
1970,ema_9,ema_21,1,67,8.33888,1.8524,0.01279,0.06717,0.43925,40.76616,14:30:00,17.07776
1105,ema_9,ema_21,1,74,11.96672,3.20841,0.05226,0.11612,0.37628,21.92059,13:30:00,17.06115
575,ema_9,ema_21,1,79,9.59547,-0.86383,0.00847,0.21635,0.53362,42.34277,13:30:00,17.03395
215,ema_9,ema_21,0,76,14.85821,4.89528,0.03588,0.138,0.84574,30.18531,14:30:00,16.98989
1950,ema_9,ema_21,1,65,10.8007,0.65477,0.01773,0.12242,0.68573,32.91317,13:30:00,16.98136
380,ema_9,ema_21,1,75,18.97753,4.00932,0.01478,0.19784,0.85499,49.27957,13:30:00,16.96991
733,ema_9,ema_21,1,69,8.77043,-1.46388,0.0132,0.03222,0.40896,28.67889,13:30:00,16.95036
1408,ema_9,ema_21,0,78,14.65676,-0.44963,0.01245,0.08595,0.87036,26.64929,13:30:00,16.93512
822,ema_9,ema_21,1,79,19.16487,-1.215,0.01585,0.02228,0.86514,37.91525,14:30:00,16.92923
243,ema_9,ema_21,1,80,9.32783,4.35082,0.00622,0.13848,0.48982,38.35582,14:30:00,16.91114
660,ema_9,ema_21,1,76,15.05594,4.88479,0.01871,0.19273,0.96715,37.61911,14:30:00,16.86681
1184,ema_9,ema_21,1,68,15.26889,0.01567,0.00725,0.0017,0.46648,29.9868,13:30:00,16.83856
948,ema_9,ema_21,1,76,5.02104,1.8667,0.00613,0.22258,0.2072,23.881,14:30:00,16.81688
212,ema_9,ema_21,0,75,19.61505,4.68357,0.03918,0.07637,0.76575,31.25027,14:30:00,16.75271
2069,ema_9,ema_21,0,80,12.75793,4.01557,0.03061,0.02565,0.95273,41.37481,13:30:00,16.75084
230,ema_9,ema_21,1,74,9.49182,3.91169,0.00797,0.11774,0.52456,16.61874,14:30:00,16.72668
1425,ema_9,ema_21,1,78,10.67541,3.29871,0.05859,0.00116,0.90059,18.64587,14:30:00,16.71865
1025,ema_9,ema_21,1,64,9.77746,-0.63042,0.00528,0.28175,0.61927,29.26198,13:30:00,16.69603
207,ema_9,ema_21,0,58,12.65076,4.42708,0.04954,0.01935,0.11699,57.19285,14:30:00,16.54657
1742,ema_9,ema_21,1,72,15.71744,-1.39686,0.00653,0.14607,0.75088,23.24498,13:30:00,16.54006
193,ema_9,ema_21,0,77,19.75687,3.4958,0.01056,0.21487,0.51666,17.0361,14:30:00,16.47503
276,ema_9,ema_21,1,79,19.97078,4.43405,0.00747,0.03236,0.54164,34.29817,13:30:00,16.38642
1539,ema_9,ema_21,1,73,15.95524,2.2178,0.01367,0.24773,0.39652,5.63937,13:30:00,16.31869
388,ema_9,ema_21,1,67,6.67745,3.27068,0.00568,0.07524,0.27416,8.06603,13:30:00,16.12631
1400,ema_9,ema_21,1,73,9.738,0.52294,0.05648,0.01239,0.65831,41.57436,13:30:00,16.07739
1219,ema_9,ema_21,1,75,7.60258,2.86167,0.0057,0.16396,0.28061,28.56022,13:30:00,15.99959
688,ema_9,ema_21,1,68,9.08023,-1.15864,0.00559,0.08134,0.45646,38.60364,13:30:00,15.99494
2047,ema_9,ema_21,0,74,14.30209,1.93319,0.0112,0.23029,0.73819,35.93926,13:30:00,15.98276
1245,ema_9,ema_21,1,80,9.65768,-0.1546,0.01237,0.14076,0.59754,8.17868,14:30:00,15.88349
1006,ema_9,ema_21,1,72,11.30118,-0.87682,0.00653,0.27052,0.89972,56.50698,14:30:00,15.8639
1434,ema_9,ema_21,0,74,16.45199,1.38747,0.07447,0.03198,0.79293,17.13721,13:30:00,15.83456
