,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal,signal_smooth,signal_norm,signal_smooth_norm,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2025-05-02 18:35:00,204.9001,205.0129,204.89,204.9707,60867.0,205.0322,204.9092,204.9001,205.0129,204.89,204.9707,60867,205.0322,204.9092,0.6293000000000177,0.6810796754094744,0.15292831105711255,0.20864968680901447,0,1,-199.339,5.57,Hold,0,5.57,0.513,5.057
2025-05-02 18:36:00,204.98,205.17,204.97,205.16,107366.0,205.2215,205.0985,204.98,205.17,204.97,205.16,107366,205.2215,205.0985,0.44000000000001477,0.6007197836063213,0.10692588092345444,0.18403131863074942,0,1,-199.339,5.759,Hold,0,5.759,0.702,5.057
2025-05-02 18:37:00,205.15,205.1899,205.11,205.14,84593.0,205.2015,205.0785,205.15,205.1899,205.11,205.14,84593,205.2015,205.0785,0.460000000000025,0.5538131890708893,0.11178614823815924,0.1696614160792312,0,1,-199.339,5.739,Hold,0,5.739,0.682,5.0569999999999995
2025-05-02 18:38:00,205.15,205.25,205.14,205.23,80533.0,205.2916,205.1684,205.15,205.25,205.14,205.23,80533,205.2916,205.1684,0.3700000000000216,0.4925421260472667,0.08991494532199801,0.15089093799192704,0,1,-199.339,5.829,Hold,0,5.829,0.772,5.0569999999999995
2025-05-02 18:39:00,205.25,205.3,205.205,205.24,112767.0,205.3016,205.1784,205.25,205.3,205.205,205.24,112767,205.3016,205.1784,0.36000000000000226,0.44836141736484525,0.08748481166464216,0.13735611448339358,0,1,-199.339,5.839,Hold,0,5.839,0.782,5.057
2025-05-02 18:40:00,205.24,205.35,205.195,205.3,87884.0,205.3616,205.2384,205.24,205.35,205.195,205.3,87884,205.3616,205.2384,0.3,0.3989076115765635,0.07290400972053467,0.1222058701090655,0,1,-199.339,5.899,Hold,0,5.899,0.842,5.057
2025-05-02 18:41:00,205.31,205.52,205.2901,205.4237,133553.0,205.4853,205.3621,205.31,205.52,205.2901,205.4237,133553,205.4853,205.3621,0.17630000000001472,0.3247050743843806,0.04284325637910445,0.09947381635228225,0,1,-199.339,6.023,Hold,0,6.023,0.966,5.0569999999999995
2025-05-02 18:42:00,205.44,205.4991,205.37,205.4403,71301.0,205.5019,205.3787,205.44,205.4991,205.37,205.4403,71301,205.5019,205.3787,0.15970000000000367,0.2697033829229217,0.03880923450789885,0.08262396924021331,0,1,-199.339,6.04,Hold,0,6.04,0.982,5.058
2025-05-02 18:43:00,205.44,205.52,205.39,205.5,102898.0,205.5616,205.4384,205.44,205.52,205.39,205.5,102898,205.5616,205.4384,0.10000000000001136,0.21313558861528492,0.02430133657351432,0.06529434427370577,0,1,-199.339,6.099,Hold,0,6.099,1.042,5.057
2025-05-02 18:44:00,205.48,205.53,205.44,205.4415,123658.0,205.5031,205.3799,205.48,205.53,205.44,205.4415,123658,205.5031,205.3799,0.15850000000002068,0.1949237257435302,0.038517618469020846,0.059715113947124615,0,1,-199.339,6.041,Hold,0,6.041,0.984,5.057
2025-05-02 18:45:00,205.45,205.55,205.45,205.46,69796.0,205.5216,205.3984,205.45,205.55,205.45,205.46,69796,205.5216,205.3984,0.1400000000000034,0.1766158171623546,0.034021871202917005,0.054106459879627304,0,1,-199.339,6.059,Hold,0,6.059,1.002,5.057
2025-05-02 18:46:00,205.4612,205.82,205.28,205.8,448110.0,205.8617,205.7383,205.4612,205.82,205.28,205.8,448110,205.8617,205.7383,0.0,0.11774387810823642,0.0,0.036070956863360266,0,1,-199.339,6.399,Hold,0,6.399,1.342,5.057
2025-05-02 18:47:00,205.7805,205.83,205.41,205.48,361111.0,205.5416,205.4184,205.7805,205.83,205.41,205.48,361111,205.5416,205.4184,0.0,0.07849591873882429,0.0,0.024047288185848906,0,1,-199.339,6.079,Hold,0,6.079,1.022,5.0569999999999995
2025-05-02 18:48:00,205.51,205.52,205.21,205.2101,140743.0,205.2717,205.1485,205.51,205.52,205.21,205.2101,140743,205.2717,205.1485,0.028619877040498676,0.06187057150604909,0.006955012646536742,0.018954089202075513,-1,0,5.809,5.809,Sell,-1,5.809,0.752,5.057
2025-05-02 18:49:00,205.2235,205.29,205.11,205.125,1312036.0,205.1865,205.0635,205.2235,205.29,205.11,205.125,1312036,205.1865,205.0635,0.10121465673283346,0.0749852665816439,0.024596514394370234,0.02297179485936466,0,0,5.809,5.809,Hold,0,5.809,0.667,5.142
2025-05-02 18:50:00,205.1101,205.16,204.86,204.88,159597.0,204.9415,204.8185,205.1101,205.16,204.86,204.88,159597,204.9415,204.8185,0.4636000000000024,0.20452351105443006,0.11266099635480016,0.06265602195375734,0,0,5.809,5.809,Hold,0,5.809,0.422,5.3870000000000005
2025-05-02 18:51:00,204.87,205.1556,204.85,205.079,88091.0,205.1405,205.0175,204.87,205.1556,204.85,205.079,88091,205.1405,205.0175,0.2645999999999901,0.22454900736961675,0.06430133657350919,0.06879086148847673,0,0,5.809,5.809,Hold,0,5.809,0.621,5.188000000000001
2025-05-02 18:52:00,205.08,205.17,205.08,205.11,60130.0,205.1715,205.0485,205.08,205.17,205.08,205.11,60130,205.1715,205.0485,0.2335999999999842,0.22756600491307258,0.05676792223571916,0.0697151230156034,0,0,5.809,5.809,Hold,0,5.809,0.652,5.157
2025-05-02 18:53:00,205.11,205.355,205.11,205.315,98131.0,205.3766,205.2534,205.11,205.355,205.11,205.315,98131,205.3766,205.2534,0.028600000000000125,0.16124400327538177,0.006950182260024336,0.04939728263528443,0,0,5.809,5.809,Hold,0,5.809,0.857,4.952
2025-05-02 18:54:00,205.315,205.47,205.3,205.43,64263.0,205.4916,205.3684,205.315,205.47,205.3,205.43,64263,205.4916,205.3684,0.0,0.10749600218358786,0.0,0.03293150536713168,0,0,5.809,5.809,Hold,0,5.809,0.972,4.837
2025-05-02 18:55:00,205.43,205.45,205.31,205.32,80314.0,205.3816,205.2584,205.43,205.45,205.31,205.32,80314,205.3816,205.2584,0.023600000000004673,0.07953066812239348,0.005735115431349863,0.02436428514447273,0,0,5.809,5.809,Hold,0,5.809,0.862,4.947
2025-05-02 18:56:00,205.32,205.455,205.31,205.355,57612.0,205.4166,205.2934,205.32,205.455,205.31,205.355,57612,205.4166,205.2934,0.0,0.05302044541492899,0.0,0.016242840373257215,0,0,5.809,5.809,Hold,0,5.809,0.897,4.912
2025-05-02 18:57:00,205.355,205.41,205.28,205.29,62431.0,205.3516,205.2284,205.355,205.41,205.28,205.29,62431,205.3516,205.2284,0.05360000000000581,0.053213630276621265,0.013025516403403607,0.01630202283287597,0,0,5.809,5.809,Hold,0,5.809,0.832,4.977
