,open,high,low,close,volume,ask,bid,open_orig,high_orig,low_orig,close_orig,volume_orig,ask_orig,bid_orig,signal_raw,signal_norm,signal_scaled,signal_smooth,trade_action,Position,Cash,NetValue,Action,TradedAmount,StrategyEarning,BuyHoldEarning,EarningDiff
2024-12-31 18:25:00,189.645,189.81,189.64,189.81,16017.0,189.8669,189.7531,189.645,189.81,189.64,189.81,16017.0,189.8669,189.7531,0.3835252237385225,0.4353848041608875,0.3129767290836774,0.338865780879128,0,1,-191.322,-1.568,Hold,0,-1.568,-1.974,0.4059999999999999
2024-12-31 18:26:00,189.815,189.84,189.61,189.61,14722.0,189.6669,189.5531,189.815,189.84,189.61,189.61,14722.0,189.6669,189.5531,0.5427732241359201,0.616166028379152,0.4429314626776116,0.3489593359128228,0,1,-191.322,-1.768,Hold,0,-1.768,-2.174,0.4059999999999999
2024-12-31 18:27:00,189.6087,189.65,189.53,189.55,30996.0,189.6069,189.4931,189.6087,189.65,189.53,189.55,30996.0,189.6069,189.4931,0.5929281372215517,0.6731027972274553,0.4838605063843147,0.361730074424608,0,1,-191.322,-1.828,Hold,0,-1.828,-2.234,0.4059999999999999
2024-12-31 18:28:00,189.59,189.7,189.59,189.7,11825.0,189.7569,189.6431,189.59,189.7,189.59,189.7,11825.0,189.7569,189.6431,0.4767201615020185,0.5411813912312838,0.38902869381249994,0.37543191866773984,0,1,-191.322,-1.678,Hold,0,-1.678,-2.084,0.40600000000000014
2024-12-31 18:29:00,189.63,189.69,189.57,189.58,15735.0,189.6369,189.5231,189.63,189.69,189.57,189.58,15735.0,189.6369,189.5231,0.5749316775067506,0.6526728890922345,0.4691744499061502,0.3840606304793426,0,1,-191.322,-1.798,Hold,0,-1.798,-2.204,0.40600000000000014
2024-12-31 18:30:00,189.58,189.65,189.5,189.6001,30817.0,189.657,189.5432,189.58,189.65,189.5,189.6001,30817.0,189.657,189.5432,0.5616829066939497,0.6376326436828832,0.45836275696728707,0.3913604401585111,0,1,-191.322,-1.778,Hold,0,-1.778,-2.184,0.40600000000000014
2024-12-31 18:31:00,189.647,189.71,189.62,189.63,10378.0,189.6869,189.5731,189.647,189.71,189.62,189.63,10378.0,189.6869,189.5731,0.5403827649188219,0.6134523356317867,0.44098072238605407,0.3998019230354337,0,1,-191.322,-1.748,Hold,0,-1.748,-2.154,0.4059999999999999
2024-12-31 18:32:00,189.68,189.7,189.63,189.64,16681.0,189.6969,189.5831,189.68,189.7,189.63,189.64,16681.0,189.6969,189.5831,0.5349856023403438,0.6073253785848697,0.436576354210008,0.40890224297104694,0,1,-191.322,-1.738,Hold,0,-1.738,-2.144,0.40600000000000014
2024-12-31 18:33:00,189.66,189.72,189.62,189.64,14404.0,189.6969,189.5831,189.66,189.72,189.62,189.64,14404.0,189.6969,189.5831,0.5376672288315539,0.6103696097134699,0.4387647022922068,0.4155573753524917,0,1,-191.322,-1.738,Hold,0,-1.738,-2.144,0.40600000000000014
2024-12-31 18:34:00,189.6498,189.83,189.64,189.725,26608.0,189.7819,189.6681,189.6498,189.83,189.64,189.725,26608.0,189.7819,189.6681,0.4707701830198535,0.5344268675236461,0.38417319881972245,0.42036529854205607,0,1,-191.322,-1.653,Hold,0,-1.653,-2.059,0.40600000000000014
2024-12-31 18:35:00,189.69,189.75,189.59,189.61,17479.0,189.6669,189.5531,189.69,189.75,189.59,189.61,17479.0,189.6669,189.5531,0.5677559140586508,0.644526832013898,0.46331864999089967,0.4234912342860476,0,1,-191.322,-1.768,Hold,0,-1.768,-2.174,0.4059999999999999
2024-12-31 18:36:00,189.62,189.635,189.53,189.565,11834.0,189.6219,189.5081,189.62,189.635,189.53,189.565,11834.0,189.6219,189.5081,0.6078149634483826,0.6900025929127708,0.4960089385877914,0.42755857016770504,0,1,-191.322,-1.813,Hold,0,-1.813,-2.219,0.4059999999999999
2024-12-31 18:37:00,189.565,189.5833,189.46,189.52,26340.0,189.5769,189.4631,189.565,189.5833,189.46,189.52,26340.0,189.5769,189.4631,0.648261341404659,0.7359180562396795,0.5290153076412853,0.4307297834759109,0,1,-191.322,-1.858,Hold,0,-1.858,-2.264,0.4059999999999997
2024-12-31 18:38:00,189.57,189.61,189.51,189.6,18272.0,189.6569,189.5431,189.57,189.61,189.51,189.6,18272.0,189.6569,189.5431,0.5846891479879046,0.6637497469143403,0.4771370583769928,0.4326645366645551,0,1,-191.322,-1.778,Hold,0,-1.778,-2.184,0.40600000000000014
2024-12-31 18:39:00,189.64,189.685,189.59,189.62,15761.0,189.6769,189.5631,189.64,189.685,189.59,189.62,15761.0,189.6769,189.5631,0.5708307741230667,0.6480174690414136,0.4658278973253254,0.43538392491149724,0,1,-191.322,-1.758,Hold,0,-1.758,-2.164,0.40600000000000014
2024-12-31 18:40:00,189.65,189.7999,189.64,189.7999,16660.0,189.8568,189.743,189.65,189.7999,189.64,189.7999,16660.0,189.8568,189.743,0.4219167747798543,0.4789675906296046,0.3443062514348776,0.4349819904720695,0,1,-191.322,-1.578,Hold,0,-1.578,-1.984,0.4059999999999999
2024-12-31 18:41:00,189.79,189.79,189.59,189.62,12382.0,189.6769,189.5631,189.79,189.79,189.59,189.62,12382.0,189.6769,189.5631,0.5765677187797885,0.6545301528787395,0.4705095455259116,0.435928239453103,0,1,-191.322,-1.758,Hold,0,-1.758,-2.164,0.40600000000000014
2024-12-31 18:42:00,189.6,189.6872,189.6,189.64,13604.0,189.6969,189.5831,189.6,189.6872,189.6,189.64,13604.0,189.6969,189.5831,0.5624149007177208,0.6384636166018999,0.45896010254220254,0.4349614506966475,0,1,-191.322,-1.738,Hold,0,-1.738,-2.144,0.40600000000000014
2024-12-31 18:43:00,189.61,189.76,189.61,189.68,26868.0,189.7369,189.6231,189.61,189.76,189.61,189.68,26868.0,189.7369,189.6231,0.5309774100398442,0.6027752058406073,0.4333054587431586,0.4360725154378187,0,1,-191.322,-1.698,Hold,0,-1.698,-2.104,0.40600000000000014
2024-12-31 18:44:00,189.68,189.73,189.65,189.73,14025.0,189.7869,189.6731,189.68,189.73,189.65,189.73,14025.0,189.7869,189.6731,0.49060354656230154,0.5569420622678323,0.4003582653134842,0.44068215900588253,0,1,-191.322,-1.648,Hold,0,-1.648,-2.054,0.4059999999999999
2024-12-31 18:45:00,189.74,189.76,189.64,189.64,15225.0,189.6969,189.5831,189.74,189.76,189.64,189.64,15225.0,189.6969,189.5831,0.5709147134531108,0.6481127584943899,0.46589639622795975,0.4432131087328165,0,1,-191.322,-1.738,Hold,0,-1.738,-2.144,0.40600000000000014
2024-12-31 18:46:00,189.65,189.76,189.64,189.7,11563.0,189.7569,189.6431,189.65,189.76,189.64,189.7,11563.0,189.7569,189.6431,0.5216149412393033,0.5921467611050791,0.4256651923930657,0.44492738899402884,0,1,-191.322,-1.678,Hold,0,-1.678,-2.084,0.40600000000000014
