,open,high,low,close,volume,bid,ask,trade_action,StrategyEarning,EarningDiff,signal_smooth,pred_signal,pred_action,Position,Cash,NetValue,Action,TradedAmount,BuyHoldEarning
2025-06-18 15:20:00,175.97,176.17,175.97,176.14,39250.0,176.0872,176.1928,0,0.0,0.136,0.2443183956415669,0.12301251,0,0,0.0,0.0,Hold,0,-0.136
2025-06-18 15:21:00,176.15,176.15,175.7596,175.7596,55922.0,175.7069,175.8123,0,0.0,0.516,0.2449629458660543,0.12632401,0,0,0.0,0.0,Hold,0,-0.516
2025-06-18 15:22:00,175.7501,175.77,175.52,175.54,66047.0,175.4873,175.5927,0,0.0,0.736,0.2484672677063743,0.13452314,0,0,0.0,0.0,Hold,0,-0.736
2025-06-18 15:23:00,175.5475,175.56,175.36,175.44,70985.0,175.3874,175.4926,0,0.0,0.835,0.255082935133468,0.1473336,0,0,0.0,0.0,Hold,0,-0.835
2025-06-18 15:24:00,175.445,175.455,175.23,175.2563,85691.0,175.2037,175.3089,0,0.0,1.019,0.2553035265138984,0.16634637,0,0,0.0,0.0,Hold,0,-1.019
2025-06-18 15:25:00,175.26,175.26,175.1,175.16,95090.0,175.1075,175.2125,0,0.0,1.115,0.2572777311192964,0.1970728,0,0,0.0,0.0,Hold,0,-1.115
2025-06-18 15:26:00,175.14,175.47,175.14,175.47,93524.0,175.4174,175.5226,0,0.0,0.806,0.264020440972315,0.22471848,0,0,0.0,0.0,Hold,0,-0.806
2025-06-18 15:27:00,175.4896,175.57,175.25,175.28,68772.0,175.2274,175.3326,0,0.0,0.996,0.2727156073304554,0.23822898,0,0,0.0,0.0,Hold,0,-0.996
2025-06-18 15:28:00,175.28,175.39,175.155,175.34,66761.0,175.2874,175.3926,0,0.0,0.936,0.2826149684303148,0.24812996,0,0,0.0,0.0,Hold,0,-0.936
2025-06-18 15:29:00,175.335,175.445,175.31,175.4,51744.0,175.3474,175.4526,0,0.0,0.876,0.2913437921322927,0.25933176,0,0,0.0,0.0,Hold,0,-0.876
2025-06-18 15:30:00,175.4,175.51,175.27,175.2802,82113.0,175.2276,175.3328,0,0.0,0.995,0.3011539858929122,0.25993127,0,0,0.0,0.0,Hold,0,-0.995
2025-06-18 15:31:00,175.29,175.545,175.29,175.48,40694.0,175.4274,175.5326,0,0.0,0.796,0.3076004954523413,0.26335675,0,0,0.0,0.0,Hold,0,-0.796
2025-06-18 15:32:00,175.51,175.59,175.36,175.581,62093.0,175.5283,175.6337,0,0.0,0.695,0.3134716039907889,0.25902736,0,0,0.0,0.0,Hold,0,-0.695
2025-06-18 15:33:00,175.56,175.68,175.56,175.6717,53615.0,175.619,175.7244,0,0.0,0.604,0.317728589616463,0.25826198,0,0,0.0,0.0,Hold,0,-0.604
2025-06-18 15:34:00,175.68,175.7,175.58,175.63,57356.0,175.5773,175.6827,0,0.0,0.646,0.3227815915210478,0.25879997,0,0,0.0,0.0,Hold,0,-0.646
2025-06-18 15:35:00,175.64,175.66,175.46,175.4999,56018.0,175.4473,175.5525,0,0.0,0.776,0.3284353947940404,0.26019537,0,0,0.0,0.0,Hold,0,-0.776
2025-06-18 15:36:00,175.49,175.5916,175.44,175.53,50198.0,175.4773,175.5827,0,0.0,0.746,0.3361531959092682,0.26387876,0,0,0.0,0.0,Hold,0,-0.746
2025-06-18 15:37:00,175.52,175.61,175.51,175.6,48682.0,175.5473,175.6527,0,0.0,0.676,0.3392752065535277,0.2687816,0,0,0.0,0.0,Hold,0,-0.676
2025-06-18 15:38:00,175.615,175.73,175.6,175.68,54903.0,175.6273,175.7327,0,0.0,0.596,0.3383343096479386,0.26827168,0,0,0.0,0.0,Hold,0,-0.596
2025-06-18 15:39:00,175.685,175.72,175.5639,175.5639,36959.0,175.5112,175.6166,0,0.0,0.712,0.3355933709967165,0.26169097,0,0,0.0,0.0,Hold,0,-0.712
2025-06-18 15:40:00,175.57,175.63,175.4501,175.4501,58037.0,175.3975,175.5027,0,0.0,0.825,0.3289746119790279,0.25591564,0,0,0.0,0.0,Hold,0,-0.825
2025-06-18 15:41:00,175.45,175.53,175.32,175.41,56574.0,175.3574,175.4626,0,0.0,0.865,0.3181312010120868,0.2553609,0,0,0.0,0.0,Hold,0,-0.865
2025-06-18 15:42:00,175.41,175.6022,175.4099,175.6,32421.0,175.5473,175.6527,0,0.0,0.676,0.3202993571071614,0.26427075,0,0,0.0,0.0,Hold,0,-0.676
2025-06-18 15:43:00,175.6034,175.74,175.55,175.665,55622.0,175.6123,175.7177,0,0.0,0.611,0.3140417682664129,0.26506576,0,0,0.0,0.0,Hold,0,-0.611
2025-06-18 15:44:00,175.669,175.71,175.55,175.61,59720.0,175.5573,175.6627,0,0.0,0.666,0.3078579477941488,0.25768465,0,0,0.0,0.0,Hold,0,-0.666
2025-06-18 15:45:00,175.59,175.795,175.5546,175.79,55808.0,175.7373,175.8427,0,0.0,0.486,0.3043069481154653,0.25172624,0,0,0.0,0.0,Hold,0,-0.486
2025-06-18 15:46:00,175.78,175.84,175.68,175.71,64831.0,175.6573,175.7627,0,0.0,0.566,0.2953869496711364,0.2466727,0,0,0.0,0.0,Hold,0,-0.566
2025-06-18 15:47:00,175.7,175.8008,175.7,175.77,32191.0,175.7173,175.8227,0,0.0,0.506,0.2952953398334222,0.2438982,0,0,0.0,0.0,Hold,0,-0.506
2025-06-18 15:48:00,175.7714,175.855,175.73,175.79,70789.0,175.7373,175.8427,0,0.0,0.486,0.2977202329307772,0.2446851,0,0,0.0,0.0,Hold,0,-0.486
2025-06-18 15:49:00,175.795,175.795,175.66,175.7,75006.0,175.6473,175.7527,0,0.0,0.576,0.3013619165389513,0.24385533,0,0,0.0,0.0,Hold,0,-0.576
2025-06-18 15:50:00,175.71,175.7828,175.62,175.733,56514.0,175.6803,175.7857,0,0.0,0.543,0.3044528290202891,0.24301156,0,0,0.0,0.0,Hold,0,-0.543
2025-06-18 15:51:00,175.74,175.74,175.605,175.6514,29821.0,175.5987,175.7041,0,0.0,0.624,0.3051373652421837,0.24328712,0,0,0.0,0.0,Hold,0,-0.624
2025-06-18 15:52:00,175.66,175.765,175.63,175.6701,35378.0,175.6174,175.7228,0,0.0,0.606,0.3097404349004054,0.24313717,0,0,0.0,0.0,Hold,0,-0.606
2025-06-18 15:53:00,175.7,175.73,175.585,175.65,77614.0,175.5973,175.7027,0,0.0,0.626,0.3163825336739923,0.24249263,0,0,0.0,0.0,Hold,0,-0.626
2025-06-18 15:54:00,175.65,175.65,175.5,175.52,57867.0,175.4673,175.5727,0,0.0,0.756,0.3245225812936537,0.24498199,0,0,0.0,0.0,Hold,0,-0.756
2025-06-18 15:55:00,175.5,175.63,175.4918,175.56,74332.0,175.5073,175.6127,0,0.0,0.716,0.3293914220134741,0.2546617,0,0,0.0,0.0,Hold,0,-0.716
2025-06-18 15:56:00,175.555,175.56,175.38,175.4537,48124.0,175.4011,175.5063,0,0.0,0.822,0.3319473904732099,0.26364094,0,0,0.0,0.0,Hold,0,-0.822
2025-06-18 15:57:00,175.4547,175.56,175.4,175.539,32369.0,175.4863,175.5917,0,0.0,0.737,0.3319054689730135,0.27550036,0,0,0.0,0.0,Hold,0,-0.737
2025-06-18 15:58:00,175.54,175.655,175.52,175.6399,34100.0,175.5872,175.6926,0,0.0,0.636,0.3367626425160321,0.2804166,0,0,0.0,0.0,Hold,0,-0.636
2025-06-18 15:59:00,175.64,175.685,175.59,175.615,44514.0,175.5623,175.6677,0,0.0,0.661,0.3428643208946421,0.2754587,0,0,0.0,0.0,Hold,0,-0.661
2025-06-18 16:00:00,175.61,175.7,175.535,175.665,53350.0,175.6123,175.7177,0,0.0,0.611,0.3486165338986577,0.2683003,0,0,0.0,0.0,Hold,0,-0.611
2025-06-18 16:01:00,175.66,175.67,175.54,175.575,32548.0,175.5223,175.6277,0,0.0,0.701,0.3589118755736022,0.25511378,0,0,0.0,0.0,Hold,0,-0.701
2025-06-18 16:02:00,175.58,175.59,175.53,175.54,16735.0,175.4873,175.5927,0,0.0,0.736,0.3682878732439326,0.25158632,0,0,0.0,0.0,Hold,0,-0.736
2025-06-18 16:03:00,175.53,175.56,175.48,175.56,25176.0,175.5073,175.6127,0,0.0,0.716,0.380528681715964,0.2478327,0,0,0.0,0.0,Hold,0,-0.716
2025-06-18 16:04:00,175.55,175.62,175.535,175.5514,21533.0,175.4987,175.6041,0,0.0,0.724,0.3919858928655726,0.2489936,0,0,0.0,0.0,Hold,0,-0.724
2025-06-18 16:05:00,175.55,175.565,175.46,175.555,24748.0,175.5023,175.6077,0,0.0,0.721,0.4014315154474316,0.24516076,0,0,0.0,0.0,Hold,0,-0.721
2025-06-18 16:06:00,175.54,175.56,175.38,175.395,36695.0,175.3424,175.4476,0,0.0,0.881,0.4122345722759704,0.2444571,0,0,0.0,0.0,Hold,0,-0.881
2025-06-18 16:07:00,175.395,175.395,175.305,175.36,27828.0,175.3074,175.4126,0,0.0,0.916,0.4242214544899386,0.2485125,0,0,0.0,0.0,Hold,0,-0.916
2025-06-18 16:08:00,175.365,175.4128,175.35,175.36,20223.0,175.3074,175.4126,0,0.0,0.916,0.4376097410593564,0.25515977,0,0,0.0,0.0,Hold,0,-0.916
2025-06-18 16:09:00,175.36,175.42,175.32,175.415,34895.0,175.3624,175.4676,0,0.0,0.861,0.4487723552103675,0.2560397,0,0,0.0,0.0,Hold,0,-0.861
2025-06-18 16:10:00,175.4088,175.4669,175.4,175.41,20302.0,175.3574,175.4626,0,0.0,0.865,0.4601777514602062,0.25223434,0,0,0.0,0.0,Hold,0,-0.865
2025-06-18 16:11:00,175.41,175.4699,175.351,175.46,26907.0,175.4074,175.5126,0,0.0,0.816,0.4735955245399312,0.24559233,0,0,0.0,0.0,Hold,0,-0.816
2025-06-18 16:12:00,175.45,175.51,175.4,175.45,42086.0,175.3974,175.5026,0,0.0,0.826,0.4836756855893666,0.24143828,0,0,0.0,0.0,Hold,0,-0.826
2025-06-18 16:13:00,175.46,175.48,175.41,175.45,22253.0,175.3974,175.5026,0,0.0,0.826,0.494583382818534,0.23518726,0,0,0.0,0.0,Hold,0,-0.826
2025-06-18 16:14:00,175.435,175.47,175.4,175.42,16779.0,175.3674,175.4726,0,0.0,0.856,0.5093504468982278,0.23407252,0,0,0.0,0.0,Hold,0,-0.856
2025-06-18 16:15:00,175.44,175.5,175.36,175.37,22606.0,175.3174,175.4226,0,0.0,0.906,0.5213225855528809,0.23001173,0,0,0.0,0.0,Hold,0,-0.906
2025-06-18 16:16:00,175.37,175.41,175.34,175.345,16182.0,175.2924,175.3976,0,0.0,0.931,0.5326005020643235,0.22772406,0,0,0.0,0.0,Hold,0,-0.931
2025-06-18 16:17:00,175.343,175.365,175.26,175.27,35603.0,175.2174,175.3226,0,0.0,1.006,0.5388600568700121,0.23292881,0,0,0.0,0.0,Hold,0,-1.006
2025-06-18 16:18:00,175.26,175.33,175.26,175.325,18685.0,175.2724,175.3776,0,0.0,0.951,0.5446683336790434,0.23934078,0,0,0.0,0.0,Hold,0,-0.951
2025-06-18 16:19:00,175.315,175.35,175.29,175.3396,20960.0,175.287,175.3922,0,0.0,0.936,0.5528489060190568,0.23843157,0,0,0.0,0.0,Hold,0,-0.936
2025-06-18 16:20:00,175.355,175.375,175.28,175.31,40546.0,175.2574,175.3626,0,0.0,0.966,0.5606489335089917,0.23278317,0,0,0.0,0.0,Hold,0,-0.966
2025-06-18 16:21:00,175.31,175.31,175.17,175.19,74771.0,175.1374,175.2426,0,0.0,1.085,0.5696103526608832,0.22847575,0,0,0.0,0.0,Hold,0,-1.085
2025-06-18 16:22:00,175.18,175.18,175.07,175.1473,76052.0,175.0948,175.1998,0,0.0,1.128,0.5752961172766256,0.23671125,0,0,0.0,0.0,Hold,0,-1.128
2025-06-18 16:23:00,175.15,175.24,175.13,175.23,37746.0,175.1774,175.2826,0,0.0,1.046,0.579900754003603,0.25229466,0,0,0.0,0.0,Hold,0,-1.046
2025-06-18 16:24:00,175.24,175.25,175.1,175.11,36140.0,175.0575,175.1625,0,0.0,1.165,0.5842417953010283,0.26083505,0,0,0.0,0.0,Hold,0,-1.165
2025-06-18 16:25:00,175.115,175.16,175.045,175.06,38335.0,175.0075,175.1125,0,0.0,1.215,0.586839627842694,0.26731774,0,0,0.0,0.0,Hold,0,-1.215
2025-06-18 16:26:00,175.0699,175.12,175.0375,175.1148,35268.0,175.0623,175.1673,0,0.0,1.161,0.587346110109046,0.28450087,0,0,0.0,0.0,Hold,0,-1.161
2025-06-18 16:27:00,175.115,175.25,175.115,175.155,42703.0,175.1025,175.2075,0,0.0,1.12,0.5894364981361311,0.29804295,0,0,0.0,0.0,Hold,0,-1.12
2025-06-18 16:28:00,175.15,175.1572,175.07,175.08,45872.0,175.0275,175.1325,0,-0.105,1.09,0.5939676916518671,0.30138177,1,1,-175.132,-0.105,Buy,1,-1.195
